
First Name,Last Name,Team Name,Position,PA Base Salary,Guaranteed Comp
Exon,ArzÃº,Houston Dynamo,Right Wing,"$104,000.00","$108,598.00"
Franco,Escobar,Houston Dynamo,Right-back,"$550,000.00","$599,167.00"
Michael,Halliday,Houston Dynamo,Right-back,"$250,000.00","$277,500.00"
Griffin,Dorsey,Houston Dynamo,Right-back,"590,000.00","$696,333.00"
Baltasar,RodrÃ­guez,Inter Miami,Attacking Midfield,"$440,000.00","$440,000.00"
Luis,SuÃ¡rez,Inter Miami,Center Forward,"$1,500,000.00","$1,500,000.00"
Allen,Obando,Inter Miami,Center Forward,"$500,000.00","$620,833.00"
TomÃ¡s,AvilÃ©s,Inter Miami,Center-back,"$439,992.00","$467,492.00"
Maximiliano,FalcÃ³n,Inter Miami,Center-back,"$450,000.00","$524,250.00"
Ian,Fray,Inter Miami,Center-back,"$150,000.00","$150,000.00"
Tyler,Hall,Inter Miami,Center-back,"$104,000.00","$104,000.00"
Gonzalo,LujÃ¡n,Inter Miami,Center-back,"$526,500.00","$818,250.00"
Ryan,Sailor,Inter Miami,Center-back,"$104,000.00","$104,000.00"
Benja,Cremaschi,Inter Miami,Central Midfield,"$400,000.00","$502,500.00"
Rodrigo,De Paul,Inter Miami,Central Midfield,"$1,500,000.00","$3,619,320.00"
Santiago,Morales,Inter Miami,Central Midfield,"$104,000.00","$112,333.00"
Telasco,Segovia,Inter Miami,Central Midfield,"$300,000.00","$335,000.00"
Yannick,Bright,Inter Miami,Defensive Midfield,"$80,622.00","$83,647.00"
Sergio,Busquets,Inter Miami,Defensive Midfield,"$8,499,996.00","$8,774,996.00"
David,RuÃ­z,Inter Miami,Defensive Midfield,"$104,000.00","$135,887.00"
Rocco,RÃ­os Novo,Inter Miami,Goalkeeper,"$104,000.00","$122,866.00"
Ã“scar,Ustari,Inter Miami,Goalkeeper,"$696,000.00","$744,000.00"
William,Yarbrough,Inter Miami,Goalkeeper,"$150,000.00","$150,000.00"
FafÃ ,Picault,Inter Miami,Left Wing,"$600,000.00","$642,000.00"
Jordi,Alba,Inter Miami,Left-back,"$6,000,000.00","$6,000,000.00"
Noah,Allen,Inter Miami,Left-back,"$125,000.00","$184,653.00"
Tadeo,Allende,Inter Miami,Right Wing,"$1,000,000.00","$1,000,000.00"
Lionel,Messi,Inter Miami,Right Wing,"$12,000,000.00","$20,446,667.00"
Mateo,Silvetti,Inter Miami,Right Wing,"490,000.00","$547,078.00"
Israel,Boatwright,Inter Miami,Right-back,"$104,000.00","$106,000.00"
Marcelo,Weigandt,Inter Miami,Right-back,"$500,000.00","$734,708.00"
Marco,Reus,LA Galaxy,Attacking Midfield,"$880,000.00","$1,136,667.00"
RubÃ©n,Ramos,LA Galaxy,Attacking Midfield,"$80,622.00","$80,622.00"
Miguel,Berry,LA Galaxy,Center Forward,"$225,000.00","$231,667.00"
Christian,Ramirez,LA Galaxy,Center Forward,"$525,000.00","$570,833.00"
Matheus,Nascimento de Paula,LA Galaxy,Center Forward,"$500,000.00","$571,250.00"
Ascel,Essengue,LA Galaxy,Center-back,"$80,622.00","$80,622.00"
Mathias,JÃ¸rgensen,LA Galaxy,Center-back,"$600,000.00","$600,000.00"
Chris,Rindov,LA Galaxy,Center-back,"$80,622.00","$89,372.00"
Maya,Yoshida,LA Galaxy,Center-back,"$455,000.00","$526,281.00"
Eriq,Zavaleta,LA Galaxy,Center-back,"$194,000.00","$198,311.00"
Carlos,GarcÃ©s,LA Galaxy,Center-back,"429,999.96","$468,000.00"
Isaiah,Parente,LA Galaxy,Central Midfield,"$104,000.00","$104,000.00"
Ricard,Puig MartÃ­,LA Galaxy,Central Midfield,"$5,125,000.00","$5,779,688.00"
Elijah,Wynder,LA Galaxy,Central Midfield,"$150,000.00","$175,333.00"
Lucas,Sanabria,LA Galaxy,Defensive Midfield,"$592,000.00","$694,800.00"
Edwin,Cerrillo,LA Galaxy,Defensive Midfield,"$525,000.00","$537,500.00"
Tucker,Lepley,LA Galaxy,Defensive Midfield,"$80,622.00","$82,308.00"
JT,Marcinkowski,LA Galaxy,Goalkeeper,"$250,000.00","$250,000.00"
Brady,Scott,LA Galaxy,Goalkeeper,"$104,000.00","$104,000.00"
Novak,MiÄ‡oviÄ‡,LA Galaxy,Goalkeeper,"$175,000.00","$175,000.00"
Gino,Vivi,LA Galaxy,Left Wing,"$104,000.00","$104,000.00"
Diego,FagÃºndez,LA Galaxy,Left Wing,"$1,250,000.00","$1,310,000.00"
JuliÃ¡n,Aude,LA Galaxy,Left-back,"$350,000.00","$360,000.00"
John,Nelson,LA Galaxy,Left-back,"$275,000.00","$291,667.00"
Joseph,Paintsil,LA Galaxy,Right Wing,"$3,136,000.00","$4,182,000.00"
Gabriel,Fortes Chaves,LA Galaxy,Right Wing,"$1,680,000.00","$2,459,000.00"
Mauricio,Cuevas,LA Galaxy,Right-back,"$150,000.00","$168,500.00"
Harbor,Miller,LA Galaxy,Right-back,"$80,622.00","$80,622.00"
Miki,Yamane,LA Galaxy,Right-back,"$778,000.00","$844,667.00"
Andrew,Moran,LAFC,Attacking Midfield,"666,667.00","$691,111.00"
Nathan,Ordaz,LAFC,Center Forward,"$146,500.00","$149,000.00"
Jeremy,Ebobisse,LAFC,Center Forward,"$680,000.00","$680,000.00"
Aaron,Long,LAFC,Center-back,"$445,000.00","$1,050,000.00"
Lorenzo,Dellavalle,LAFC,Center-back,"$104,000.00","$107,750.00"
Kenny,Nielsen,LAFC,Center-back,"$80,622.00","$80,622.00"
Ryan,Porteous,LAFC,Center-back,"$720,000.00","$755,260.00"
Eddie,Segura,LAFC,Center-back,"$577,500.00","$577,500.00"
Nkosi Tafari,Burgess,LAFC,Center-back,"$374,500.00","$374,500.00"
Mathieu,ChoiniÃ¨re,LAFC,Central Midfield,"$698,780.00","$698,780.00"
Frankie,Amaya,LAFC,Central Midfield,"$574,000.00","$574,000.00"
Mark,Delgado,LAFC,Central Midfield,"$1,000,000.00","$1,000,000.00"
Odin,Holm,LAFC,Central Midfield,"$660,000.00","$660,000.00"
Jude,Terry,LAFC,Central Midfield,"$80,622.00","$117,020.00"
Timothy,Tillman,LAFC,Central Midfield,"$790,000.00","$846,400.00"
Igor,Jesus Lima,LAFC,Defensive Midfield,"$550,000.00","$616,684.00"
Adam,SaldaÃ±a,LAFC,Defensive Midfield,"$80,622.00","$80,622.00"
Jailson,Marques Siqueira,LAFC,Defensive Midfield,"1,200,000.00","$1,317,444.00"
Hugo,Lloris,LAFC,Goalkeeper,"$700,000.00","$700,000.00"
Thomas,Hasal,LAFC,Goalkeeper,"$104,000.00","$114,133.00"
David,Ochoa,LAFC,Goalkeeper,"$104,000.00","$112,333.00"
Ryan,Raposo,LAFC,Left Midfield,"$180,000.00","$180,000.00"
Heung-min,Son,LAFC,Left Wing,"$10,368,750.00","$11,152,852.00"
Denis,Bouanga,LAFC,Left Wing,"$3,020,000.00","$3,709,500.00"
Artem,Smolyakov,LAFC,Left-back,"$550,000.00","$613,297.00"
Ryan,Hollingshead,LAFC,Left-back,"$642,500.00","$642,500.00"
Yaw,Yeboah,LAFC,Right Wing,"$550,000.00","$550,000.00"
David,MartÃ­nez,LAFC,Right Wing,"$525,000.00","$525,000.00"
Adrian,Wibowo,LAFC,Right Wing,"$80,622.00","$80,622.00"
Alexandru,BÄƒluÈ›Äƒ,LAFC,Right Wing,"720,000.00","$768,900.00"
Sergi,Palencia,LAFC,Right-back,"$549,996.00","$569,996.00"
Dominik,Fitz,Minnesota United,Attacking Midfield,"850,000.00","$853,000.00"
Alexis,FariÃ±a,Minnesota United,Attacking Midfield,"104,000.00","$172,500.00"
Jordan,Adebayo-Smith,Minnesota United,Center Forward,"$104,000.00","$121,220.00"
Mamadou,Dieng,Minnesota United,Center Forward,"$80,622.00","$83,769.00"
Kelvin,Yeboah,Minnesota United,Center Forward,"$1,275,000.00","$1,477,200.00"
Morris,Duggan,Minnesota United,Center-back,"$80,622.00","$80,622.00"
NicolÃ¡s,Romero,Minnesota United,Center-back,"$420,000.00","$457,500.00"
Kipp,Keller,Minnesota United,Center-back,"$104,000.00","$104,000.00"
Jefferson,DÃ­az,Minnesota United,Center-back,"$380,000.00","$380,000.00"
Michael,Boxall,Minnesota United,Center-back,"$700,000.00","$827,500.00"
Alejandro,Bran,Minnesota United,Central Midfield,"$104,000.00","$104,000.00"
Ho-yeon,Jung,Minnesota United,Central Midfield,"$131,000.00","$168,039.00"
Robin,Lod,Minnesota United,Central Midfield,"$1,550,000.00","$1,689,375.00"
Owen,Gene,Minnesota United,Central Midfield,"$400,000.00","$430,100.00"
JoaquÃ­n,Pereyra,Minnesota United,Central Midfield,"$655,000.00","$844,000.00"
Hassani,Dotson,Minnesota United,Central Midfield,"$625,000.00","$682,500.00"
Nectarios,Triantis,Minnesota United,Central Midfield,"660,000.00","$722,665.00"
Carlos,Harvey,Minnesota United,Defensive Midfield,"$104,000.00","$113,627.00"
Wil,Trapp,Minnesota United,Defensive Midfield,"$500,000.00","$552,500.00"
Wessel,Speel,Minnesota United,Goalkeeper,"$80,622.00","$80,622.00"
Alec,Smir,Minnesota United,Goalkeeper,"$104,000.00","$104,000.00"
Dayne,St. Clair,Minnesota United,Goalkeeper,"$610,000.00","$631,875.00"
Samuel,Shashoua,Minnesota United,Left Wing,"$104,000.00","$104,833.00"
LoÃ¯c,Mesanvi,Minnesota United,Left Wing,"$80,622.00","$83,613.00"
Kenyel,Michel,Minnesota United,Left Wing,"104,000.00","$104,000.00"
Kieran,Chandler,Minnesota United,Left-back,"$80,622.00","$80,622.00"
Anthony,Markanich Jr.,Minnesota United,Left-back,"$104,000.00","$104,000.00"
Joseph,Rosales,Minnesota United,Left-back,"$535,000.00","$579,702.00"
Julian,Gressel,Minnesota United,Right Midfield,"$1,146,672.00","$1,146,672.00"
Darius,Randell,Minnesota United,Right Wing,"$80,622.00","$91,016.00"
Bongokuhle,Hlongwane,Minnesota United,Right Wing,"$1,000,000.00","$1,142,500.00"
Matus,Kmet,Minnesota United,Right-back,"$195,000.00","$212,469.00"
D.J.,Taylor,Minnesota United,Right-back,"$183,500.00","$213,617.00"
Gyasi,Zardes,MLS Pool,Center Forward,"$1,200,000.00","$1,200,000.00"
Maximiliano,Urruti,MLS Pool,Center Forward,"$104,000.00","$104,000.00"
Missael,RodrÃ­guez,MLS Pool,Center Forward,"$113,400.00","$113,400.00"
Axel,Kei,MLS Pool,Center Forward,"$140,000.00","$156,000.00"
Dany,Rosero,MLS Pool,Center-back,"$530,000.00","$530,000.00"
Joakim,Nilsson,MLS Pool,Center-back,"$1,187,250.00","$1,255,750.00"
Sean,Davis,MLS Pool,Central Midfield,"$925,000.00","$1,039,000.00"
AljaÅ¾,IvaÄiÄ,MLS Pool,Goalkeeper,"$540,000.00","$625,000.00"
Elliot,Panicco,MLS Pool,Goalkeeper,"$230,000.00","$230,000.00"
Bret,Halsey,MLS Pool,Right-back,"$104,000.00","$104,000.00"
Hany,Mukhtar,Nashville SC,Attacking Midfield,"$3,900,000.00","$5,311,667.00"
Woobens,Pacius,Nashville SC,Center Forward,"$80,622.00","$80,622.00"
Teal,Bunbury,Nashville SC,Center Forward,"$250,000.00","$285,000.00"
Maximus,Ekk,Nashville SC,Center Forward,"$80,622.00","$80,622.00"
Adem,SipiÄ‡,Nashville SC,Center Forward,"$80,622.00","$109,448.00"
Sam,Surridge,Nashville SC,Center Forward,"2,775,000.04","$3,208,139.00"
Jeison,Palacios,Nashville SC,Center-back,"$350,000.00","$526,667.00"
Christopher,Applewhite,Nashville SC,Center-back,"$80,622.00","$90,067.00"
Josh,Bauer,Nashville SC,Center-back,"$180,000.00","$203,667.00"
Jack,Maher,Nashville SC,Center-back,"$800,000.00","$895,467.00"
Wyatt,Meyer,Nashville SC,Center-back,"$80,622.00","$80,622.00"
Walker,Zimmerman,Nashville SC,Center-back,"$3,200,000.00","$3,456,979.00"
Bryan,Acosta,Nashville SC,Central Midfield,"$175,000.00","$196,250.00"
Patrick,Yazbek,Nashville SC,Central Midfield,"$415,000.00","$531,013.00"
Isaiah,Jones,Nashville SC,Central Midfield,"$80,622.00","$84,622.00"
Edvard,Tagseth,Nashville SC,Central Midfield,"$450,000.00","$487,667.00"
GastÃ³n,Brugman,Nashville SC,Defensive Midfield,"$1,200,000.00","$1,409,000.00"
Matthew,Corcoran,Nashville SC,Defensive Midfield,"$80,622.00","$102,890.00"
Brian,Schwake,Nashville SC,Goalkeeper,"$104,000.00","$120,800.00"
Xavier,Valdez,Nashville SC,Goalkeeper,"$80,622.00","$90,622.00"
Joe,Willis,Nashville SC,Goalkeeper,"$600,000.00","$658,333.00"
Tyler,Boyd,Nashville SC,Left Wing,"$1,100,000.00","$1,105,000.00"
Jonathan,PÃ©rez,Nashville SC,Left Wing,"$400,000.00","$470,956.00"
Jacob,Shaffelburg,Nashville SC,Left Wing,"$425,000.00","$470,000.00"
Jordan,Knight,Nashville SC,Left-back,"$80,622.00","$86,455.00"
Daniel,Lovitz,Nashville SC,Left-back,"$525,000.00","$542,500.00"
Tate,Schmitt,Nashville SC,Left-back,"$104,000.00","$104,000.00"
Taylor,Washington,Nashville SC,Left-back,"$104,000.00","$104,000.00"
Ahmed,Qasem,Nashville SC,Right Wing,"$650,000.00","$650,000.00"
Alex,Muyl,Nashville SC,Right Wing,"$535,000.00","$535,000.00"
Andy,NÃ¡jar,Nashville SC,Right-back,"$250,000.00","$280,000.00"
Julian,Gaines,Nashville SC,Right-back,"$80,622.00","$80,622.00"
Carles,Gil,New England Revolution,Attacking Midfield,"$4,250,000.00","$4,702,083.00"
Allan,Oyirwoth,New England Revolution,Attacking Midfield,"$104,000.00","$120,000.00"
Ignatius,Ganago,New England Revolution,Center Forward,"$1,300,000.00","$1,300,000.00"
Leonardo,Campana,New England Revolution,Center Forward,"$1,250,000.00","$1,372,333.00"
Dor,Turgeman,New England Revolution,Center Forward,"740,000.00","$740,000.00"
Tanner,Beason,New England Revolution,Center-back,"$325,000.00","$325,000.00"
Andrew,Farrell,New England Revolution,Center-back,"$175,000.00","$175,000.00"
Keegan,Hughes,New England Revolution,Center-back,"$104,000.00","$104,000.00"
Eric,Klein,New England Revolution,Center-back,"$80,622.00","$86,899.00"
Santiago,SuÃ¡rez,New England Revolution,Center-back,"$104,000.00","$117,222.00"
Mamadou,Fofana,New England Revolution,Center-back,"$500,000.00","$616,250.00"
Brayan,Ceballos,New England Revolution,Center-back,"$725,000.00","$805,625.00"
Wyatt,Omsberg,New England Revolution,Center-back,"$125,000.00","$137,500.00"
Jack,Panayotou,New England Revolution,Central Midfield,"$117,500.00","$119,500.00"
Alhassan,Yusuf,New England Revolution,Central Midfield,"$850,000.00","$945,311.00"
Jackson,Yueill,New England Revolution,Central Midfield,"$1,086,750.00","$1,086,750.00"
Matt,Polster,New England Revolution,Defensive Midfield,"$625,000.00","$683,333.00"
Alex,Bono,New England Revolution,Goalkeeper,"$250,000.00","$262,500.00"
Donovan,Parisian,New England Revolution,Goalkeeper,"$80,622.00","$80,622.00"
Matt,Turner,New England Revolution,Goalkeeper,"$1,776,136.00","$1,942,886.00"
TomÃ¡s,Chancalay,New England Revolution,Left Wing,"$1,000,000.00","$1,060,000.00"
Peyton,Miller,New England Revolution,Left-back,"$104,000.00","$106,000.00"
Will,Sands,New England Revolution,Left-back,"$275,000.00","$283,333.00"
Malcolm,Fry,New England Revolution,Right Wing,"$90,000.00","$95,560.00"
Luca,Langoni,New England Revolution,Right Wing,"$660,000.00","$732,283.00"
Damario,McIntosh,New England Revolution,Right-back,"$80,622.00","$89,571.00"
Brandon,Bye,New England Revolution,Right-back,"$425,000.00","$443,813.00"
Ilay,Feingold,New England Revolution,Right-back,"$575,000.00","$575,000.00"
Maxi,Moralez,New York City FC,Attacking Midfield,"$480,000.00","$500,000.00"
NicolÃ¡s,FernÃ¡ndez Mercau,New York City FC,Attacking Midfield,"$3,650,000.00","$3,650,000.00"
Jovan,MijatoviÄ‡,New York City FC,Center Forward,"$650,000.00","$687,500.00"
Alonso,MartÃ­nez,New York City FC,Center Forward,"$700,000.00","$800,333.00"
Seymour,Reid,New York City FC,Center Forward,"$80,622.00","$95,437.00"
Zidane,YÃ¡Ã±ez,New York City FC,Center Forward,"$80,622.00","$84,789.00"
Prince,Amponsah,New York City FC,Center-back,"$80,622.00","$80,622.00"
Max,Murray,New York City FC,Center-back,"$80,622.00","$82,470.00"
Strahinja,TanasijeviÄ‡,New York City FC,Center-back,"$270,000.00","$338,750.00"
Thiago,Martins,New York City FC,Center-back,"$1,700,000.00","$2,162,000.00"
Raul Gustavo,Pereira Bicalho,New York City FC,Center-back,"720,000.00","$812,960.00"
Jacob,Arroyave,New York City FC,Central Midfield,"$80,622.00","$93,620.00"
MÃ¡ximo,Carrizo,New York City FC,Central Midfield,"$104,000.00","$137,523.00"
Jonathan,Shore,New York City FC,Central Midfield,"$104,000.00","$116,500.00"
Justin,Haak,New York City FC,Central Midfield,"225,003.96","$265,833.00"
James,Sands,New York City FC,Defensive Midfield,"$1,250,000.00","$1,318,750.00"
Aiden,O'Neill,New York City FC,Defensive Midfield,"$540,000.00","$570,938.00"
Keaton,Parks,New York City FC,Defensive Midfield,"$400,000.00","$530,000.00"
AndrÃ©s,Perea,New York City FC,Defensive Midfield,"$660,000.00","$726,500.00"
Matt,Freese,New York City FC,Goalkeeper,"$400,000.00","$491,667.00"
Alex,Rando,New York City FC,Goalkeeper,"$80,622.00","$80,622.00"
Greg,Ranjitsingh,New York City FC,Goalkeeper,"$104,000.00","$104,000.00"
TomÃ¡s,Romero,New York City FC,Goalkeeper,"$104,000.00","$104,000.00"
Talles Magno,Bacelar Martins,New York City FC,Left Wing,"$950,000.00","$1,065,000.00"
Malachi,Jones,New York City FC,Left Wing,"$80,622.00","$80,622.00"
AgustÃ­n,Ojeda,New York City FC,Left Wing,"$510,000.00","$577,833.00"
Nico,Cavallo,New York City FC,Left-back,"$80,622.00","$82,470.00"
Kevin,O'Toole,New York City FC,Left-back,"$225,000.00","$246,667.00"
JuliÃ¡n,FernÃ¡ndez,New York City FC,Right Wing,"$660,000.00","$724,300.00"
Hannes,Wolf,New York City FC,Right Wing,"$1,400,000.00","$1,510,000.00"
Drew,Baiera,New York City FC,Right-back,"$104,000.00","$109,936.00"
Mitja,IleniÄ,New York City FC,Right-back,"$300,000.00","$391,700.00"
Tayvon,Gray,New York City FC,Right-back,"$103,992.00","$215,492.00"
Wikelman,Carmona,New York Red Bulls,Attacking Midfield,"$495,000.00","$500,000.00"
Wiktor,Bogacz,New York Red Bulls,Center Forward,"$390,000.00","$516,240.00"
Roald,Mitchell,New York Red Bulls,Center Forward,"$104,000.00","$124,408.00"
Tanner,Rosborough,New York Red Bulls,Center Forward,"$80,622.00","$97,640.00"
Julian,Hall,New York Red Bulls,Center Forward,"$125,000.00","$207,241.00"
Eric-Maxim,Choupo-Moting,New York Red Bulls,Center Forward,"$3,200,000.00","$3,530,667.00"
Noah,Eile,New York Red Bulls,Center-back,"$440,000.00","$493,200.00"
Sean,Nealis,New York Red Bulls,Center-back,"$550,000.00","$626,250.00"
Alexander,Hack,New York Red Bulls,Center-back,"$930,000.00","$1,031,400.00"
Tim,Parker,New York Red Bulls,Center-back,"$300,000.00","$347,500.00"
Adri,Mehmeti,New York Red Bulls,Central Midfield,"$80,622.00","$126,202.00"
Peter,Stroud,New York Red Bulls,Central Midfield,"$125,000.00","$145,003.00"
Ronald,Donkor,New York Red Bulls,Central Midfield,"$140,000.00","$165,400.00"
Aiden,Jarvis,New York Red Bulls,Defensive Midfield,"$80,622.00","$97,707.00"
Daniel,Edelman,New York Red Bulls,Defensive Midfield,"$465,000.00","$465,000.00"
Gustav,Berggren,New York Red Bulls,Defensive Midfield,"999,996.00","$1,109,996.00"
Carlos,Coronel,New York Red Bulls,Goalkeeper,"$550,000.00","$599,649.00"
AJ,Marcucci,New York Red Bulls,Goalkeeper,"$135,000.00","$152,425.00"
John,McCarthy,New York Red Bulls,Goalkeeper,"$452,000.00","$474,600.00"
Aidan,Stokes,New York Red Bulls,Goalkeeper,"$80,622.00","$97,390.00"
Lewis,Morgan,New York Red Bulls,Left Wing,"$1,250,000.00","$1,479,358.00"
Mohammed,Sofo,New York Red Bulls,Left Wing,"$130,000.00","$188,000.00"
Andy,Rojas,New York Red Bulls,Left Wing,"$129,996.00","$147,327.00"
Emil,Forsberg,New York Red Bulls,Left Wing,"$5,405,000.00","$6,035,625.00"
Rafael,Mosquera,New York Red Bulls,Left Wing,"80,622.00","$92,522.00"
Raheem,Edwards,New York Red Bulls,Left-back,"$375,000.00","$414,340.00"
Marcelo,Morales,New York Red Bulls,Left-back,"$300,000.00","$447,375.00"
Omar,Valencia,New York Red Bulls,Left-back,"$80,622.00","$92,997.00"
Curtis,Ofori,New York Red Bulls,Left-back,"$125,000.00","$133,750.00"
Dennis,Gjengaar,New York Red Bulls,Right Wing,"$360,000.00","$418,769.00"
Cameron,Harper,New York Red Bulls,Right Wing,"$360,000.00","$401,750.00"
Serge,Ngoma Jr.,New York Red Bulls,Right Wing,"$165,000.00","$193,700.00"
Juan,Mina,New York Red Bulls,Right-back,"$162,000.00","$177,432.00"
Dylan,Nealis,New York Red Bulls,Right-back,"$385,000.00","$385,000.00"
Kyle,Duncan,New York Red Bulls,Right-back,"$500,000.00","$555,750.00"
MartÃ­n,Ojeda,Orlando City SC,Attacking Midfield,"$960,000.00","$1,032,600.00"
Luis,Muriel,Orlando City SC,Center Forward,"$2,500,000.00","$4,003,333.00"
Favian,Loyola,Orlando City SC,Center Forward,"$104,000.00","$106,135.00"
Duncan,McGuire,Orlando City SC,Center Forward,"$540,000.00","$861,000.00"
David,Brekalo,Orlando City SC,Center-back,"$600,000.00","$683,000.00"
Robin,Jansson,Orlando City SC,Center-back,"$900,000.00","$996,667.00"
Thomas,Williams,Orlando City SC,Center-back,"$150,000.00","$163,875.00"
Rodrigo,Schlegel,Orlando City SC,Center-back,"$500,000.00","$609,667.00"
Eduard,Atuesta,Orlando City SC,Central Midfield,"$600,000.00","$725,000.00"
Wilder,Cartagena,Orlando City SC,Defensive Midfield,"$480,000.00","$520,250.00"
Joran,Gerbet,Orlando City SC,Defensive Midfield,"$80,622.00","$80,622.00"
Colin,Guske,Orlando City SC,Defensive Midfield,"$80,622.00","$91,427.00"
Zakaria,Taifi,Orlando City SC,Defensive Midfield,"$80,622.00","$92,520.00"
CÃ©sar,AraÃºjo,Orlando City SC,Defensive Midfield,"$509,000.00","$548,000.00"
Pedro,Gallese,Orlando City SC,Goalkeeper,"$960,000.00","$1,249,333.00"
Carlos,Mercado,Orlando City SC,Goalkeeper,"$104,000.00","$104,000.00"
Javier,Otero,Orlando City SC,Goalkeeper,"$120,000.00","$123,750.00"
IvÃ¡n,Angulo,Orlando City SC,Left Wing,"$525,000.00","$557,660.00"
Tyrese,Spicer,Orlando City SC,Left Wing,"$80,622.00","$83,122.00"
Yutaro,Tsukada,Orlando City SC,Left Wing,"$80,622.00","$80,622.00"
Tahir,Reid-Brown,Orlando City SC,Left-back,"$104,000.00","$118,508.00"
AdriÃ¡n,MarÃ­n,Orlando City SC,Left-back,"$325,000.00","$377,972.00"
Gustavo,Caraballo,Orlando City SC,Right Wing,"$80,622.00","$86,997.00"
Shak,Mohammed,Orlando City SC,Right Wing,"$120,000.00","$126,000.00"
NicolÃ¡s,RodrÃ­guez,Orlando City SC,Right Wing,"$180,000.00","$200,500.00"
Marco,PaÅ¡aliÄ‡,Orlando City SC,Right Wing,"$1,600,000.00","$1,650,667.00"
Alex,Freeman,Orlando City SC,Right-back,"$104,000.00","$108,000.00"
Kyle,Smith,Orlando City SC,Right-back,"$270,000.00","$318,000.00"
Dagur Dan,ThÃ³rhallsson,Orlando City SC,Right-back,"$364,996.00","$411,121.00"
Jeremy,Rafanello,Philadelphia Union,Attacking Midfield,"$140,000.00","$161,125.00"
Cavan,Sullivan,Philadelphia Union,Attacking Midfield,"$200,000.00","$364,000.00"
Tai,Baribo,Philadelphia Union,Center Forward,"$700,000.00","$810,000.00"
Markus,Anderson,Philadelphia Union,Center Forward,"$120,000.00","$122,000.00"
Bruno,Damiani,Philadelphia Union,Center Forward,"$600,000.00","$726,700.00"
Eddy,Davis III,Philadelphia Union,Center Forward,"$80,622.00","$82,622.00"
Chris,Donovan,Philadelphia Union,Center Forward,"$180,000.00","$200,156.00"
Sal,Olivas,Philadelphia Union,Center Forward,"$80,622.00","$104,702.00"
Milan,Iloski,Philadelphia Union,Center Forward,"$500,000.00","$552,569.00"
Mikael,Uhre,Philadelphia Union,Center Forward,"$2,000,000.00","$2,240,000.00"
Olwethu,Makhanya,Philadelphia Union,Center-back,"$250,000.00","$288,875.00"
Neil,Pierre,Philadelphia Union,Center-back,"$80,622.00","$97,020.00"
Jakob,Glesnes,Philadelphia Union,Center-back,"$1,100,000.00","$1,310,000.00"
Alejandro,Bedoya,Philadelphia Union,Central Midfield,"$104,000.00","$204,500.00"
Jovan,LukiÄ‡,Philadelphia Union,Central Midfield,"$285,000.00","$329,875.00"
Quinn,Sullivan,Philadelphia Union,Central Midfield,"$450,000.00","$518,000.00"
Ben,Bender,Philadelphia Union,Central Midfield,"$140,000.00","$150,000.00"
JesÃºs,Bueno,Philadelphia Union,Defensive Midfield,"$300,000.00","$332,625.00"
Danley,Jean Jacques,Philadelphia Union,Defensive Midfield,"$600,000.00","$652,100.00"
Nick,Pariano,Philadelphia Union,Defensive Midfield,"$80,622.00","$85,815.00"
Andre,Blake,Philadelphia Union,Goalkeeper,"$1,000,000.00","$1,181,250.00"
George,Marks,Philadelphia Union,Goalkeeper,"$104,000.00","$104,000.00"
Andrew,Rick,Philadelphia Union,Goalkeeper,"$80,622.00","$90,537.00"
Oliver,Semmle,Philadelphia Union,Goalkeeper,"$150,000.00","$166,324.00"
CJ,Olney Jr.,Philadelphia Union,Left Midfield,"$80,622.00","$94,287.00"
Kai,Wagner,Philadelphia Union,Left-back,"$930,000.00","$1,088,250.00"
Isaiah,LeFlore,Philadelphia Union,Left-back,"$104,000.00","$113,363.00"
Indiana,Vassilev,Philadelphia Union,Right Wing,"$350,000.00","$381,750.00"
Olivier,Mbaizo,Philadelphia Union,Right-back,"$430,000.00","$472,875.00"
Nathan,Harriel,Philadelphia Union,Right-back,"$290,000.00","$312,800.00"
Frankie,Westfield,Philadelphia Union,Right-back,"$80,622.00","$92,127.00"
David,Da Costa,Portland Timbers,Attacking Midfield,"$2,725,000.00","$3,425,000.00"
MatÃ­as,Rojas,Portland Timbers,Attacking Midfield,"$559,929.00","$743,262.00"
Gage,Guerra,Portland Timbers,Center Forward,"$80,622.00","$80,622.00"
Kevin,Kelsy,Portland Timbers,Center Forward,"$612,000.00","$752,804.00"
Felipe,Mora,Portland Timbers,Center Forward,"$1,275,000.00","$1,472,750.00"
Jonathan,RodrÃ­guez,Portland Timbers,Center Forward,"$2,775,000.00","$3,627,500.00"
Zac,McGraw,Portland Timbers,Center-back,"$275,000.00","$321,750.00"
Kamal,Miller,Portland Timbers,Center-back,"$770,004.00","$795,004.00"
Dario,Å½upariÄ‡,Portland Timbers,Center-back,"$735,000.00","$907,950.00"
Finn,Surman,Portland Timbers,Center-back,"$200,000.00","$226,983.00"
Cristhian,Paredes,Portland Timbers,Central Midfield,"$610,000.00","$714,000.00"
Diego,CharÃ¡,Portland Timbers,Central Midfield,"$725,000.00","$725,000.00"
Felipe,Carballo,Portland Timbers,Central Midfield,"$950,000.00","$988,333.00"
Joao,Ortiz,Portland Timbers,Defensive Midfield,"$475,000.00","$525,625.00"
David,Ayala,Portland Timbers,Defensive Midfield,"$425,000.00","$477,000.00"
Maxime,CrÃ©peau,Portland Timbers,Goalkeeper,"$585,000.00","$648,333.00"
