,,,,,,Orlando City SC,,,,,,De John,Alex,D,"$135,000.00 )","$146,614.17 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Philadelphia Union,,,,,,De Vries,Jack,M-F,"$90,000.00 )","$120,556.25 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Major League Soccer,,,,,,Del Grecco,Nicolas,D,"$120,000.00 )","$121,125.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Houston Dynamo,,,,,,DeLaGarza,AJ,D,"$249,999.96 )","$253,749.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Seattle Sounders FC,,,,,,Delem,Jordy,D-M,"$70,875.00 )","$70,875.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toronto FC,,,,,,DeLeon,Nick,D-M,"$159,528.00 )","$175,269.67 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toronto FC,,,,,,Delgado,"Marco ""Marky""",M,"$252,999.96 )","$252,999.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Cincinnati,,,,,,Deplagne,Mathieu,D,"$240,000.00 )","$254,400.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Houston Dynamo,,,,,,Deric,Tyler,GK,"$159,999.96 )","$167,499.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Seattle Sounders FC,,,,,,Dhillon,Justin,F,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Columbus Crew,,,,,,Diaz,Luis,M,"$300,000.00 )","$333,900.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sporting Kansas City,,,,,,Dick,Eric,GK,"$70,250.04 )","$73,699.58 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Portland Timbers,,,,,,Dielna,Claude,D,"$560,000.04 )","$600,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LAFC,,,,,,Diomande,Adama,F,"$849,999.96 )","$934,999.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Montreal Impact,,,,,,Diop,Clement,GK,"$94,500.00 )","$98,190.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vancouver Whitecaps,,,,,,Dominguez,Jon Erice,M,"$654,545.52 )","$752,363.70 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toronto FC,,,,,,Dorsey,Griffin,M-F,"$90,000.00 )","$134,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LA Galaxy,,,,,,dos Santos,Jonathan,M,"$2,000,000.04 )","$2,000,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Minnesota United,,,,,,Dotson,Hassani,M,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sporting Kansas City,,,,,,Duke,Cameron,M,"$56,250.00 )","$69,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New York Red Bulls,,,,,,Duncan,Kyle,D,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toronto FC,,,,,,Dunn,Julian,D,"$57,225.00 )","$57,225.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DC United,,,,,,Durkin,Chris,D-M,"$95,000.04 )","$104,375.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Orlando City SC,,,,,,Dwyer,Dom,F,"$1,320,000.00 )","$1,503,333.33 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Portland Timbers,,,,,,Ebobisse,Jeremy,F,"$174,999.96 )","$237,999.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chicago Fire,,,,,,Edwards,Raheem,M,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DC United,,,,,,Edwards,Earl,GK,"$70,250.04 )","$73,583.37 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LAFC,,,,,,Ejimadu,Philip,GK,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LAFC,,,,,,El-Mounir,Mohammed,D,"$185,000.04 )","$207,666.71 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Houston Dynamo,,,,,,Elis,Alberth,M-F,"$650,340.00 )","$650,340.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Philadelphia Union,,,,,,Elliott,Jack,D,"$250,000.08 )","$265,000.08 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toronto FC,,,,,,Endoh,Tsubasa,M-F,"$70,250.04 )","$75,583.37 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New York Red Bulls,,,,,,Epps,Marcus,M-F,"$70,250.04 )","$74,541.71 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,San Jose Earthquakes,,,,,,Eriksson,Magnus,M-F,"$450,000.00 )","$450,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Atlanta United,,,,,,Escobar,Franco,D,"$300,000.00 )","$300,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,San Jose Earthquakes,,,,,,Espinoza,Cristian,M-F,"$500,000.04 )","$550,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sporting Kansas City,,,,,,Espinoza,Roger,M,"$800,000.04 )","$800,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Cincinnati,,,,,,Etienne,Derrick,M-F,"$77,062.56 )","$82,062.56 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Philadelphia Union,,,,,,Fabian,Marco,M-F,"$2,000,727.24 )","$2,274,087.24 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New England Revolution,,,,,,Fagundez,Diego,M-F,"$185,000.04 )","$205,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Montreal Impact,,,,,,Fanni,Rod,D,"$299,250.00 )","$299,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Portland Timbers,,,,,,Farfan,Marco,D,"$80,250.00 )","$80,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New England Revolution,,,,,,Farrell,Andrew,D,"$209,229.96 )","$344,229.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sporting Kansas City,,,,,,Feilhaber,Benny,M,"$413,400.00 )","$463,400.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,San Jose Earthquakes,,,,,,Felipe,Luis,D-M,"$70,875.00 )","$71,625.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LA Galaxy,,,,,,Feltscher,Rolf,D,"$218,000.04 )","$242,650.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sporting Kansas City,,,,,,Fernandes,Gerso,M-F,"$550,008.00 )","$550,008.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New York Red Bulls,,,,,,Fernandez,Omir,M-F,"$80,000.04 )","$95,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Portland Timbers,,,,,,Fernandez,Brian,M-F,"$1,200,000.00 )","$1,275,800.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chicago Fire,,,,,,Ferreira,Marcelo,D,"$774,999.96 )","$797,499.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Dallas,,,,,,Ferreira,Jesus,F,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,San Jose Earthquakes,,,,,,Fierro,Carlos,M-F,"$660,000.00 )","$718,800.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Houston Dynamo,,,,,,Figueroa,Maynor,D,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Minnesota United,,,,,,Finlay,Ethan,M-F,"$400,008.00 )","$400,008.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New England Revolution,,,,,,Firmino,Nicolas,M,"$70,250.04 )","$73,916.71 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DC United,,,,,,Fisher,Oniel,D,"$70,250.04 )","$74,916.71 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Portland Timbers,,,,,,Flores,Andres,M-F,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Philadelphia Union,,,,,,Fontana,Anthony,M-F,"$70,260.00 )","$78,677.60 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sporting Kansas City,,,,,,Fontas,Andreu,D,"$1,050,000.00 )","$1,050,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Colorado Rapids,,,,,,Ford,Kortne,D,"$92,496.00 )","$92,496.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Columbus Crew,,,,,,Francis,Waylon,D,"$160,000.08 )","$199,166.75 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chicago Fire,,,,,,Frankowski,Przemyslaw,M-F,"$450,000.00 )","$661,687.50 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toronto FC,,,,,,Fraser,Liam,D-M,"$70,875.00 )","$75,875.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sporting Kansas City,,,,,,Freeman,Tyler,F,"$70,249.92 )","$82,749.92 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Philadelphia Union,,,,,,Freese,Matt,GK,"$70,000.08 )","$77,650.08 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Seattle Sounders FC,,,,,,Frei,Stefan,GK,"$325,000.08 )","$337,500.08 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Philadelphia Union,,,,,,,,,,,Gaddis,Raymon,D,"$190,000.08 )","$190,000.08 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chicago Fire,,,,,,,,,,,Gaitan,Nicolas,M-F,"$1,400,004.00 )","$2,197,504.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Atlanta United,,,,,,,,,,,Gallagher,Jon,M-F,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toronto FC,,,,,,,,,,,Gallardo,Erickson,M,"$275,004.00 )","$306,916.60 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Houston Dynamo,,,,,,,,,,,Garcia,Oscar Boniek,M,"$168,000.00 )","$183,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Houston Dynamo,,,,,,,,,,,Garcia,Kevin,D,"$72,360.84 )","$72,360.84 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Cincinnati,,,,,,,,,,,Garza,Greg,D,"$270,000.00 )","$270,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Major League Soccer,,,,,,,,,,,Gashi,Shkelzen,M-F,"$1,575,000.00 )","$1,668,750.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Minnesota United,,,,,,,,,,,Gasper,Chase,D,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Cincinnati,,,,,,,,,,,Gdula,Logan,D,"$56,250.00 )","$59,575.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New England Revolution,,,,,,,,,,,Gil,Carles,M-F,"$2,100,000.00 )","$2,337,500.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vancouver Whitecaps,,,,,,,,,,,Giro,"Victor ""PC""",D-M,"$105,000.00 )","$110,312.50 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Real Salt Lake,,,,,,,,,,,Glad,Justen,D,"$345,000.00 )","$366,700.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,San Jose Earthquakes,,,,,,,,,,,Godoy,Anibal,D-M,"$450,000.00 )","$498,125.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vancouver Whitecaps,,,,,,,,,,,Godoy,Erik,D,"$381,818.16 )","$449,318.16 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Dallas,,,,,,,,,,,Gonzalez,Jesse,GK,"$217,500.00 )","$231,500.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toronto FC,,,,,,,,,,,Gonzalez,Omar,D,"$918,000.00 )","$1,193,935.50 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LA Galaxy,,,,,,,,,,,Gonzalez,Giancarlo,D,"$650,000.04 )","$719,583.37 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Atlanta United,,,,,,,,,,,Gonzalez Pirez,Leandro,D,"$775,008.00 )","$810,008.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Atlanta United,,,,,,,,,,,Goslin,Chris,M-F,"$90,000.00 )","$90,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Minnesota United,,,,,,,,,,,Gregus,Jan,M,"$750,000.00 )","$883,500.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Atlanta United,,,,,,,,,,,Gressel,Julian,M,"$114,249.96 )","$132,999.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Orlando City SC,,,,,,,,,,,Grinwis,Adam,GK,"$70,875.00 )","$70,875.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LAFC,,,,,,,,,,,Guido,Alejandro,D-M,"$120,000.00 )","$120,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sporting Kansas City,,,,,,,,,,,Gutierrez,Felipe,M,"$1,599,999.96 )","$1,649,999.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chicago Fire,,,,,,,,,,,Gutjahr,Jeremiah,M,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Cincinnati,,,,,,,,,,,Gutman,Andrew,D,"$99,999.96 )","$99,999.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Atlanta United,,,,,,,,,,,Guzan,Brad,GK,"$680,004.00 )","$740,004.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Columbus Crew,,,,,,,,,,,Guzman,David,D-M,"$320,000.04 )","$340,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Cincinnati,,,,,,,,,,,Gyau,Joe,M,"$148,200.00 )","$168,640.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New York City FC,,,,,,,,,,,Haak,Justin,M,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Cincinnati,,,,,,,,,,,Hagglund,Nick,D,"$137,504.40 )","$147,129.40 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Cincinnati,,,,,,,,,,,Hague,Jimmy,GK,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Houston Dynamo,,,,,,,,,,,Hairston,Marlon,M-F,"$155,004.00 )","$155,004.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,San Jose Earthquakes,,,,,,,,,,,Haji,Siad,M,"$75,000.00 )","$104,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DC United,,,,,,,,,,,Hamid,Bill,GK,"$461,820.00 )","$487,495.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Columbus Crew,,,,,,,,,,,Hamilton,Jordan,F,"$124,992.00 )","$137,658.67 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Houston Dynamo,,,,,,,,,,,Hansen,Niko,M-F,"$71,662.56 )","$79,162.56 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LAFC,,,,,,,,,,,Harvey,Jordan,D,"$165,000.00 )","$165,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vancouver Whitecaps,,,,,,,,,,,Hasal,Thomas,GK,"$56,250.00 )","$66,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sporting Kansas City,,,,,,,,,,,Hasler,Nicolas,M,"$168,000.00 )","$183,666.67 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Dallas,,,,,,,,,,,Hayes,Jacori,M,"$71,662.56 )","$79,162.56 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Dallas,,,,,,,,,,,Hedges,Matt,D,"$550,008.00 )","$575,008.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vancouver Whitecaps,,,,,,,,,,,Henry,Doneil,D,"$190,008.00 )","$204,241.71 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chicago Fire,,,,,,,,,,,Herbers,Fabian,M-F,"$135,000.00 )","$135,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New England Revolution,,,,,,,,,,,Herivaux,Zachary,M,"$72,351.60 )","$87,351.60 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Atlanta United,,,,,,,,,,,Hernandez,Jose Rafael,D,"$140,004.00 )","$140,004.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Dallas,,,,,,,,,,,Hernandez,Moises,D,"$90,000.00 )","$90,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sporting Kansas City,,,,,,,,,,,Hernandez,Felipe,M,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Real Salt Lake,,,,,,,,,,,Herrera,Aaron,D,"$86,000.04 )","$86,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Columbus Crew,,,,,,,,,,,Higuain,Federico,M-F,"$1,100,000.04 )","$1,100,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Orlando City SC,,,,,,,,,,,Higuita,Cristian,M,"$474,996.00 )","$611,662.67 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LA Galaxy,,,,,,,,,,,Hilliard-Arce,Tomas,D,"$99,999.96 )","$123,124.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,San Jose Earthquakes,,,,,,,,,,,Hoesen,Danny,F,"$500,000.04 )","$549,666.71 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Dallas,,,,,,,,,,,Hollingshead,Ryan,D-M,"$174,999.96 )","$174,999.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Real Salt Lake,,,,,,,,,,,Holt,Erik,D,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Real Salt Lake,,,,,,,,,,,Horwath,Alex,GK,"$95,000.04 )","$100,862.54 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Colorado Rapids,,,,,,,,,,,Howard,Tim,GK,"$2,000,000.04 )","$2,475,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Cincinnati,,,,,,,,,,,Hoyte,Justin,D,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Colorado Rapids,,,,,,,,,,,Hundley,Matt,M-F,"$65,000.04 )","$99,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sporting Kansas City,,,,,,,,,,,Hurtado,Erik,F,"$174,999.96 )","$181,249.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Atlanta United,,,,,,,,,,,Hyndman,Emerson,M,"$360,000.00 )","$360,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Minnesota United,,,,,,,,,,,Ibarra,Romario,M-F,"$500,000.04 )","$546,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Minnesota United,,,,,,,,,,,Ibarra,Miguel,M,"$309,996.00 )","$342,318.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New York City FC,,,,,,,,,,,Ibeagha,Sebastien,D,"$74,250.00 )","$74,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LA Galaxy,,,,,,,,,,,Ibrahimovic,Zlatan,F,"$7,200,000.00 )","$7,200,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Philadelphia Union,,,,,,,,,,,Ilsinho,,M,"$330,000.00 )","$357,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vancouver Whitecaps,,,,,,,,,,,In-Beom,Hwang,M,"$600,000.00 )","$655,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Colorado Rapids,,,,,,,,,,,Irwin,Clint,GK,"$126,000.00 )","$138,707.24 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Portland Timbers,,,,,,,,,,,Ivacic,Aljaz,GK,"$150,000.00 )","$160,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Major League Soccer,,,,,,,,,,,Ivan,Andreas,M-F,"$264,000.00 )","$330,600.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Colorado Rapids,,,,,,,,,,,Jackson,Niki,F,"$57,225.00 )","$57,225.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Montreal Impact,,,,,,,,,,,Jackson-Hamel,Anthony,F,"$160,000.08 )","$175,000.08 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Portland Timbers,,,,,,,,,,,Jadama,Modou,D,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LAFC,,,,,,,,,,,Jakovic,Dejan,D,"$150,000.00 )","$153,750.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LA Galaxy,,,,,,,,,,,Jamieson,Bradford,F,"$76,403.28 )","$76,403.28 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Orlando City SC,,,,,,,,,,,Jansson,Robin,D,"$261,000.00 )","$289,800.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DC United,,,,,,,,,,,Jara,Leonardo,D,"$500,000.04 )","$560,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M,,,,,,,,,,,,,Orlando City SC,Johnson,Will,"$455,004.00 )","$491,004.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,F,,,,,,,,,,,,,Real Salt Lake,Johnson,Sam,"$650,000.04 )","$767,500.04 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M-F,,,,,,,,,,,,,New England Revolution,Jones,DeJuan,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M,,,,,,,,,,,,,Philadelphia Union,Jones,Derrick,"$75,000.00 )","$80,900.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M,,,,,,,,,,,,,Seattle Sounders FC,Jones,Joevin,"$482,004.00 )","$528,670.67 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,F,,,,,,,,,,,,,New York Red Bulls,Jorgensen,Mathias,"$275,000.04 )","$306,250.04 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D-M,,,,,,,,,,,,,San Jose Earthquakes,Judson,,"$300,000.00 )","$305,000.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D-M,,,,,,,,,,,,,San Jose Earthquakes,Jungwirth,Florian,"$550,008.00 )","$616,675.07 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M,,,,,,,,,,,,,LA Galaxy,Juninho,,"$150,000.00 )","$163,125.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Houston Dynamo,Junqua,Sam,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M-F,,,,,,,,,,,,,New York Red Bulls,Kaku,,"$799,999.92 )","$799,999.92 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Minnesota United,Kallman,Brent,"$118,000.08 )","$151,531.33 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,F,,,,,,,,,,,,,Colorado Rapids,Kamara,Kei,"$750,000.00 )","$750,000.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M-F,,,,,,,,,,,,,DC United,Kamara,Ola,"$240,000.00 )","$260,000.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GK,,,,,,,,,,,,,Atlanta United,Kann,Alec,"$100,008.00 )","$100,008.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Chicago Fire,Kappelhof,Johan,"$549,999.96 )","$577,833.29 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,San Jose Earthquakes,Kashia,Guram,"$590,000.04 )","$590,000.04 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M-F,,,,,,,,,,,,,Chicago Fire,Katai,Aleksandar,"$1,260,000.00 )","$1,380,333.33 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,M,,,,,,,,,,,,,LAFC,Kaye,Mark-Anthony,"$166,248.00 )","$177,810.50 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Seattle Sounders FC,Kee-Hee,Kim,"$640,000.08 )","$772,000.08 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Columbus Crew,Keita,Aboubacar,"$90,000.00 )","$110,000.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GK,,,,,,,,,,,,,Columbus Crew,Kempin,Jonathan,"$71,664.00 )","$71,664.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Vancouver Whitecaps,Khmiri,Jasser,"$180,000.00 )","$180,000.00 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,,,,,,,,,,,,Montreal Impact,Kinumbe,Daniel,"$56,250.00 )","$60,165.63 )",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D-M,,,,,,,,,,,,,LA Galaxy,Kitchen,Perry,"$450,000.00 )","$474,166.67 )",,,,,,,,,,,,,,,,,,,,,
