OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Citation_N,Date,Time,Date___Tim,Address,Latitude,Longitude,Ordinance_,Violation,Ward,Neighborho,Community,Day,Tow_Zone,x,y
662,Northrop,2022-2023,4,271123314727,1/6/23 12:00 AM,1:26 PM,1/6/23 1:26 PM,2743 12TH AVE S,44.952175,-93.257553,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381383.3125835,5613995.55836017
663,Northrop,2022-2023,4,271123314726,1/6/23 12:00 AM,1:20 PM,1/6/23 1:20 PM,2809 12TH AVE S,44.951709,-93.257512,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381378.7484741,5613922.25766895
664,Northrop,2022-2023,4,271123314725,1/6/23 12:00 AM,1:19 PM,1/6/23 1:19 PM,2813 12TH AVE S,44.951596,-93.257544,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381382.3106619,5613904.48315298
665,Northrop,2022-2023,4,271123314724,1/6/23 12:00 AM,1:18 PM,1/6/23 1:18 PM,2813 12TH AVE S,44.951478,-93.257564,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381384.5370542,5613885.92215379
666,Northrop,2022-2023,4,271123314722,1/6/23 12:00 AM,1:16 PM,1/6/23 1:16 PM,2815 12TH AVE S,44.951346,-93.257553,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381383.3125835,5613865.15908814
667,Northrop,2022-2023,4,271123314721,1/6/23 12:00 AM,1:12 PM,1/6/23 1:12 PM,2913 12TH AVE S,44.949735,-93.257582,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381386.5408975,5613611.75867197
668,Northrop,2022-2023,4,271123314720,1/6/23 12:00 AM,1:09 PM,1/6/23 1:09 PM,2931 12TH AVE S,44.949129,-93.257583,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381386.652122,5613516.4404527
669,Northrop,2022-2023,4,271123314719,1/6/23 12:00 AM,1:05 PM,1/6/23 1:05 PM,2941 12TH AVE S,44.948701,-93.257556,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381383.6465574,5613449.12061552
670,Northrop,2022-2023,4,271123314717,1/6/23 12:00 AM,12:31 PM,1/6/23 12:31 PM,2807 10TH AVE S,44.951628,-93.260198,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381677.7525996,5613909.51659812
671,Northrop,2022-2023,4,271123314716,1/6/23 12:00 AM,12:30 PM,1/6/23 12:30 PM,2811 10TH AVE S,44.951524,-93.26019,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381676.8621027,5613893.15784096
672,Northrop,2022-2023,4,271123314715,1/6/23 12:00 AM,12:27 PM,1/6/23 12:27 PM,2815 10TH AVE S,44.951338,-93.260158,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381673.2998148,5613863.90066205
673,Northrop,2022-2023,4,271123314714,1/6/23 12:00 AM,12:26 PM,1/6/23 12:26 PM,2819 10TH AVE S,44.951171,-93.2602,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381677.9752488,5613837.63233053
674,Northrop,2022-2023,4,271123314713,1/6/23 12:00 AM,11:39 AM,1/6/23 11:39 AM,2439 10TH AVE S,44.957808,-93.260042,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381660.3867591,5614881.66309963
675,Northrop,2022-2023,4,271123314712,1/6/23 12:00 AM,11:36 AM,1/6/23 11:36 AM,2437 10TH AVE S,44.957873,-93.260049,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381661.1660314,5614891.88854514
676,Northrop,2022-2023,4,271123314711,1/6/23 12:00 AM,11:35 AM,1/6/23 11:35 AM,2437 10TH AVE S,44.957942,-93.260044,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381660.6094083,5614902.74328761
677,Northrop,2022-2023,4,271123314710,1/6/23 12:00 AM,11:33 AM,1/6/23 11:33 AM,2429 10TH AVE S,44.958112,-93.260032,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381659.2736129,5614929.48668414
678,Northrop,2022-2023,4,271123314709,1/6/23 12:00 AM,11:31 AM,1/6/23 11:31 AM,2427 10TH AVE S,44.95825,-93.260029,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381658.9396391,5614951.1961311
679,Northrop,2022-2023,4,271123314708,1/6/23 12:00 AM,11:29 AM,1/6/23 11:29 AM,2405 10TH AVE S,44.958897,-93.260013,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381657.1585452,5615052.97949869
680,Northrop,2022-2023,4,271123314707,1/6/23 12:00 AM,11:28 AM,1/6/23 11:28 AM,2407 10TH AVE S,44.958905,-93.260037,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381659.8302361,5615054.23794908
681,Northrop,2022-2023,4,271123314706,1/6/23 12:00 AM,11:24 AM,1/6/23 11:24 AM,2123 10TH AVE S,44.960956,-93.259633,478.1000(c),Snow emergency parking restrictions - odd number address,6,Ventura Village,Phillips,3,3,-10381614.8570901,5615376.90037345
682,Northrop,2022-2023,4,271123314705,1/6/23 12:00 AM,11:23 AM,1/6/23 11:23 AM,2121 10TH AVE S,44.961096,-93.259634,478.1000(c),Snow emergency parking restrictions - odd number address,6,Ventura Village,Phillips,3,3,-10381614.9684147,5615398.92555651
683,Northrop,2022-2023,4,271123314704,1/6/23 12:00 AM,11:16 AM,1/6/23 11:16 AM,2117 10TH AVE S,44.961208,-93.259641,478.1000(c),Snow emergency parking restrictions - odd number address,6,Ventura Village,Phillips,3,3,-10381615.7476871,5615416.54568506
684,Northrop,2022-2023,4,271123314703,1/6/23 12:00 AM,11:11 AM,1/6/23 11:11 AM,2013 10TH AVE S,44.962191,-93.259696,478.1000(c),Snow emergency parking restrictions - odd number address,6,Ventura Village,Phillips,3,3,-10381621.8702411,5615571.19562986
685,Northrop,2022-2023,4,271123314702,1/6/23 12:00 AM,11:05 AM,1/6/23 11:05 AM,2543 11TH ST S,44.955874,-93.258781,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381520.0129151,5614577.42358602
686,Northrop,2022-2023,4,271123314701,1/6/23 12:00 AM,11:04 AM,1/6/23 11:04 AM,2539 11TH ST S,44.955958,-93.258786,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381520.5695382,5614590.63740583
687,Northrop,2022-2023,4,271123314700,1/6/23 12:00 AM,11:02 AM,1/6/23 11:02 AM,2537 11TH ST S,44.956088,-93.258729,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381514.224335,5614611.08764909
688,Northrop,2022-2023,4,271123314699,1/6/23 12:00 AM,10:59 AM,1/6/23 10:59 AM,2519 11TH ST S,44.956434,-93.258759,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381517.5638735,5614665.51669651
689,Northrop,2022-2023,4,271123314698,1/6/23 12:00 AM,10:53 AM,1/6/23 10:53 AM,2437 11TH ST S,44.957914,-93.258769,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381518.6771197,5614898.33843224
690,Northrop,2022-2023,4,271123314697,1/6/23 12:00 AM,10:51 AM,1/6/23 10:51 AM,2417 11TH ST S,44.958576,-93.258764,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381518.1204966,5615002.48090842
691,Northrop,2022-2023,4,271123314696,1/6/23 12:00 AM,10:39 AM,1/6/23 10:39 AM,2001 ELLIOT AVE S,44.96242,-93.261071,478.1000(c),Snow emergency parking restrictions - odd number address,6,Ventura Village,Phillips,3,3,-10381774.9345917,5615607.22326209
692,Northrop,2022-2023,4,271123314695,1/6/23 12:00 AM,10:32 AM,1/6/23 10:32 AM,2425 ELLIOT AVE S,44.958077,-93.26126,478.1000(c),Snow emergency parking restrictions - odd number address,9,Midtown Phillips,Phillips,3,3,-10381795.9739445,5614923.98070507
693,Northrop,2022-2023,4,271123314694,1/6/23 12:00 AM,10:12 AM,1/6/23 10:12 AM,2853 COLUMBUS AVE S,44.950022,-93.263937,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382093.9762485,5613656.90157653
694,Northrop,2022-2023,4,271123314693,1/6/23 12:00 AM,10:11 AM,1/6/23 10:11 AM,2851 COLUMBUS AVE S,44.950134,-93.263935,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382093.7535992,5613674.5183051
695,Northrop,2022-2023,4,271123314691,1/6/23 12:00 AM,10:05 AM,1/6/23 10:05 AM,2809 COLUMBUS AVE S,44.951622,-93.263921,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382092.1950545,5613908.57291535
696,Northrop,2022-2023,4,271123314690,1/6/23 12:00 AM,10:02 AM,1/6/23 10:02 AM,2749 COLUMBUS AVE S,44.952162,-93.263927,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382092.8630022,5613993.51352978
697,Northrop,2022-2023,4,271123314687,1/6/23 12:00 AM,9:44 AM,1/6/23 9:44 AM,2703 COLUMBUS AVE S,44.953437,-93.2639,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382089.8574376,5614194.0710868
698,Northrop,2022-2023,4,271123314686,1/6/23 12:00 AM,9:42 AM,1/6/23 9:42 AM,2647 COLUMBUS AVE S,44.954056,-93.263883,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382087.964919,5614291.44135851
699,Northrop,2022-2023,4,271123314685,1/6/23 12:00 AM,9:40 AM,1/6/23 9:40 AM,2641 COLUMBUS AVE S,44.954216,-93.263869,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382086.4064744,5614316.60997398
700,Northrop,2022-2023,4,271123314684,1/6/23 12:00 AM,9:38 AM,1/6/23 9:38 AM,2635 COLUMBUS AVE S,44.954309,-93.263866,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382086.0725005,5614331.23921446
701,Northrop,2022-2023,4,271123314683,1/6/23 12:00 AM,9:37 AM,1/6/23 9:37 AM,2633 COLUMBUS AVE S,44.954382,-93.263869,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382086.4064744,5614342.72238768
702,Northrop,2022-2023,4,271123314682,1/6/23 12:00 AM,9:35 AM,1/6/23 9:35 AM,2629 COLUMBUS AVE S,44.954439,-93.263973,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382097.9837347,5614351.68872861
703,Northrop,2022-2023,4,271123314681,1/6/23 12:00 AM,9:34 AM,1/6/23 9:34 AM,2621 COLUMBUS AVE S,44.954755,-93.263887,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382088.4102175,5614401.39711519
704,Northrop,2022-2023,4,271123314680,1/6/23 12:00 AM,9:33 AM,1/6/23 9:33 AM,2621 COLUMBUS AVE S,44.95477,-93.263876,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382087.1857467,5614403.75666328
705,Northrop,2022-2023,4,271123314679,1/6/23 12:00 AM,9:31 AM,1/6/23 9:31 AM,2613 COLUMBUS AVE S,44.955059,-93.263886,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382088.2988929,5614449.2180139
706,Northrop,2022-2023,4,271123314678,1/6/23 12:00 AM,9:30 AM,1/6/23 9:30 AM,2611 COLUMBUS AVE S,44.955126,-93.263893,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382089.0781652,5614459.75759681
707,Northrop,2022-2023,4,271123314677,1/6/23 12:00 AM,9:29 AM,1/6/23 9:29 AM,2609 COLUMBUS AVE S,44.955188,-93.263911,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382091.0819084,5614469.51062297
708,Northrop,2022-2023,4,271123314676,1/6/23 12:00 AM,9:28 AM,1/6/23 9:28 AM,2607 COLUMBUS AVE S,44.955313,-93.263886,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382088.2988929,5614489.17387959
709,Northrop,2022-2023,4,271123314675,1/6/23 12:00 AM,9:12 AM,1/6/23 9:12 AM,2901 OAKLAND AVE S,44.949884,-93.266484,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382377.5069519,5613635.19524195
710,Northrop,2022-2023,4,271123314674,1/6/23 12:00 AM,9:11 AM,1/6/23 9:11 AM,2903 OAKLAND AVE S,44.949846,-93.266471,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382376.0598319,5613629.21815474
711,Northrop,2022-2023,4,271123314673,1/6/23 12:00 AM,9:10 AM,1/6/23 9:10 AM,2915 OAKLAND AVE S,44.949703,-93.266469,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382375.8371827,5613606.72539285
712,Northrop,2022-2023,4,271123314672,1/6/23 12:00 AM,9:09 AM,1/6/23 9:09 AM,2917 OAKLAND AVE S,44.949668,-93.266463,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382375.1692349,5613601.2202205
713,Northrop,2022-2023,4,271123314671,1/6/23 12:00 AM,9:07 AM,1/6/23 9:07 AM,2921 OAKLAND AVE S,44.949638,-93.266511,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382380.5126167,5613596.50140298
714,Northrop,2022-2023,4,271123314670,1/6/23 12:00 AM,9:05 AM,1/6/23 9:05 AM,2933 OAKLAND AVE S,44.949101,-93.266477,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382376.7276796,5613512.03641517
715,Northrop,2022-2023,4,271123314669,1/6/23 12:00 AM,9:02 AM,1/6/23 9:02 AM,2941 OAKLAND AVE S,44.948858,-93.266482,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382377.2843027,5613473.81499339
716,Northrop,2022-2023,4,271123314668,1/6/23 12:00 AM,8:38 AM,1/6/23 8:38 AM,2933 3RD AVE S,44.948919,-93.272809,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10383081.6027644,5613483.40965783
717,Northrop,2022-2023,4,271123314667,1/6/23 12:00 AM,8:38 AM,1/6/23 8:38 AM,2931 3RD AVE S,44.949063,-93.272813,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10383082.0480629,5613506.0594095
718,Northrop,2022-2023,4,271123314666,1/6/23 12:00 AM,8:36 AM,1/6/23 8:36 AM,2927 3RD AVE S,44.949081,-93.272822,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10383083.0498844,5613508.89061478
719,Northrop,2022-2023,4,271123314665,1/6/23 12:00 AM,8:34 AM,1/6/23 8:34 AM,2911 3RD AVE S,44.949647,-93.272812,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10383081.9367383,5613597.9170904
720,Northrop,2022-2023,4,271123314664,1/6/23 12:00 AM,8:33 AM,1/6/23 8:33 AM,2905 3RD AVE S,44.94985,-93.272804,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10383081.0461413,5613629.84720995
721,Northrop,2022-2023,4,271123314663,1/6/23 12:00 AM,8:31 AM,1/6/23 8:31 AM,2901 3RD AVE S,44.949976,-93.272815,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10383082.2706121,5613649.66607871
722,Northrop,2022-2023,4,271123314662,1/6/23 12:00 AM,8:22 AM,1/6/23 8:22 AM,2929 5TH AVE S,44.949198,-93.26904,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382662.039577,5613527.29354142
723,Northrop,2022-2023,4,271123314661,1/6/23 12:00 AM,8:17 AM,1/6/23 8:17 AM,2505 5TH AVE S,44.956918,-93.26894,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382650.9076151,5614741.65501513
724,Northrop,2022-2023,4,271123314660,1/6/23 12:00 AM,8:13 AM,1/6/23 8:13 AM,2427 5TH AVE S,44.958165,-93.268974,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382654.6924521,5614937.82432003
725,Northrop,2022-2023,4,271123314659,1/6/23 12:00 AM,8:12 AM,1/6/23 8:12 AM,2425 5TH AVE S,44.958221,-93.268964,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382653.579306,5614946.63392998
726,Northrop,2022-2023,4,271123314658,1/6/23 12:00 AM,8:10 AM,1/6/23 8:10 AM,2419 5TH AVE S,44.958556,-93.268915,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382648.1245996,5614999.33458859
727,Northrop,2022-2023,4,271123314657,1/6/23 12:00 AM,8:07 AM,1/6/23 8:07 AM,2209 5TH AVE S,44.960469,-93.268972,478.1000(c),Snow emergency parking restrictions - odd number address,6,Phillips West,Phillips,3,3,-10382654.4698029,5615300.28471155
728,Northrop,2022-2023,4,271123314656,1/5/23 12:00 AM,2:41 PM,1/5/23 2:41 PM,2734 18TH AVE S,44.952517,-93.248687,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380396.3540153,5614049.35461194
729,Northrop,2022-2023,4,271123314655,1/5/23 12:00 AM,2:40 PM,1/5/23 2:40 PM,2730 18TH AVE S,44.952704,-93.248712,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380399.1369307,5614078.76955742
730,Northrop,2022-2023,4,271123314654,1/5/23 12:00 AM,2:38 PM,1/5/23 2:38 PM,2724 18TH AVE S,44.952847,-93.248694,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380397.1331875,5614101.26349545
731,Northrop,2022-2023,4,271123314652,1/5/23 12:00 AM,2:35 PM,1/5/23 2:35 PM,2628 18TH AVE S,44.954556,-93.248675,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380395.0181198,5614370.09337339
732,Northrop,2022-2023,4,271123314651,1/5/23 12:00 AM,2:31 PM,1/5/23 2:31 PM,2616 18TH AVE S,44.954952,-93.248688,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380396.4653399,5614432.38633923
733,Northrop,2022-2023,4,271123314650,1/5/23 12:00 AM,2:26 PM,1/5/23 2:26 PM,2606 18TH AVE S,44.955133,-93.248668,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380394.2389475,5614460.85879231
734,Northrop,2022-2023,4,271123314649,1/5/23 12:00 AM,2:25 PM,1/5/23 2:25 PM,2604 18TH AVE S,44.955274,-93.248669,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380394.3502722,5614483.0389129
735,Northrop,2022-2023,4,271123314648,1/5/23 12:00 AM,2:13 PM,1/5/23 2:13 PM,2530 17TH AVE S,44.956194,-93.249958,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380537.8410054,5614627.7623404
736,Northrop,2022-2023,4,271123314647,1/5/23 12:00 AM,2:09 PM,1/5/23 2:09 PM,2618 17TH AVE S,44.954654,-93.249963,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380538.3976285,5614385.50926221
737,Northrop,2022-2023,4,271123314646,1/5/23 12:00 AM,2:07 PM,1/5/23 2:07 PM,2624 17TH AVE S,44.954606,-93.249973,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380539.5108748,5614377.95869745
738,Northrop,2022-2023,4,271123314645,1/5/23 12:00 AM,2:05 PM,1/5/23 2:05 PM,2704 17TH AVE S,44.953491,-93.249939,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380535.7259376,5614202.56535261
739,Northrop,2022-2023,4,271123314644,1/5/23 12:00 AM,2:03 PM,1/5/23 2:03 PM,2710 17TH AVE S,44.953327,-93.24995,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380536.9505085,5614176.76782027
740,Northrop,2022-2023,4,271123314643,1/5/23 12:00 AM,1:57 PM,1/5/23 1:57 PM,2740 17TH AVE S,44.952244,-93.249966,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380538.7316024,5614006.41202491
741,Northrop,2022-2023,4,271123314642,1/5/23 12:00 AM,1:52 PM,1/5/23 1:52 PM,2938 16TH AVE S,44.948761,-93.251275,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380684.4488281,5613458.55795752
742,Northrop,2022-2023,4,271123314641,1/5/23 12:00 AM,1:47 PM,1/5/23 1:47 PM,2840 16TH AVE S,44.950629,-93.251247,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380681.3318387,5613752.37858013
743,Northrop,2022-2023,4,271123314640,1/5/23 12:00 AM,1:45 PM,1/5/23 1:45 PM,2834 16TH AVE S,44.950871,-93.251245,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380681.1091895,5613790.44373785
744,Northrop,2022-2023,4,271123314639,1/5/23 12:00 AM,1:44 PM,1/5/23 1:44 PM,2830 16TH AVE S,44.95099,-93.251225,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380678.8828972,5613809.16184303
745,Northrop,2022-2023,4,271123314638,1/5/23 12:00 AM,1:39 PM,1/5/23 1:39 PM,2720 16TH AVE S,44.952704,-93.25125,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380681.6658126,5614078.76955742
746,Northrop,2022-2023,4,271123314637,1/5/23 12:00 AM,1:33 PM,1/5/23 1:33 PM,2700 16TH AVE S,44.95351,-93.251247,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380681.3318387,5614205.55408553
747,Northrop,2022-2023,4,271123314636,1/5/23 12:00 AM,1:29 PM,1/5/23 1:29 PM,2506 16TH AVE S,44.957078,-93.251221,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380678.4375987,5614766.8248859
748,Northrop,2022-2023,4,271123314635,1/5/23 12:00 AM,1:28 PM,1/5/23 1:28 PM,2504 16TH AVE S,44.957064,-93.251222,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380678.5489234,5614764.62256185
749,Northrop,2022-2023,4,271123314634,1/5/23 12:00 AM,1:25 PM,1/5/23 1:25 PM,2424 16TH AVE S,44.958179,-93.251209,478.1000(b),Snow emergency parking restrictions - even number address,9,East Phillips,Phillips,2,3,-10380677.1017032,5614940.02668634
750,Northrop,2022-2023,4,271123314633,1/5/23 12:00 AM,1:18 PM,1/5/23 1:18 PM,2200 16TH AVE S,44.960693,-93.251161,478.1000(b),Snow emergency parking restrictions - even number address,6,Ventura Village,Phillips,2,3,-10380671.7584216,5615335.52461793
751,Northrop,2022-2023,4,271123314632,1/5/23 12:00 AM,1:16 PM,1/5/23 1:16 PM,2020 16TH AVE S,44.962046,-93.251142,478.1000(b),Snow emergency parking restrictions - even number address,6,Ventura Village,Phillips,2,3,-10380669.6433539,5615548.38336336
752,Northrop,2022-2023,4,271123314631,1/5/23 12:00 AM,1:07 PM,1/5/23 1:07 PM,2820 15TH AVE S,44.951227,-93.253806,478.1000(b),Snow emergency parking restrictions - even number address,9,Midtown Phillips,Phillips,2,3,-10380966.1984377,5613846.44086686
753,Northrop,2022-2023,4,271123314630,1/5/23 12:00 AM,1:02 PM,1/5/23 1:02 PM,2504 15TH AVE S,44.956929,-93.253744,478.1000(b),Snow emergency parking restrictions - even number address,9,Midtown Phillips,Phillips,2,3,-10380959.2966113,5614743.38537785
754,Northrop,2022-2023,4,271123314629,1/5/23 12:00 AM,12:59 PM,1/5/23 12:59 PM,2218 15TH AVE S,44.960312,-93.253596,478.1000(b),Snow emergency parking restrictions - even number address,6,Ventura Village,Phillips,2,3,-10380942.8213678,5615275.58533678
755,Northrop,2022-2023,4,271123314628,1/5/23 12:00 AM,12:57 PM,1/5/23 12:57 PM,2212 15TH AVE S,44.9604,-93.253566,478.1000(b),Snow emergency parking restrictions - even number address,6,Ventura Village,Phillips,2,3,-10380939.4817292,5615289.429491
756,Northrop,2022-2023,4,271123314627,1/5/23 12:00 AM,12:55 PM,1/5/23 12:55 PM,2210 15TH AVE S,44.960531,-93.253614,478.1000(b),Snow emergency parking restrictions - even number address,6,Ventura Village,Phillips,2,3,-10380944.8251109,5615310.03864592
757,Northrop,2022-2023,4,271123314626,1/5/23 12:00 AM,12:53 PM,1/5/23 12:53 PM,2202 15TH AVE S,44.960655,-93.253577,478.1000(b),Snow emergency parking restrictions - even number address,6,Ventura Village,Phillips,2,3,-10380940.7063001,5615329.54640478
758,Northrop,2022-2023,4,271123314625,1/5/23 12:00 AM,12:48 PM,1/5/23 12:48 PM,2120 14TH AVE S,44.961096,-93.254893,478.1000(b),Snow emergency parking restrictions - even number address,6,Ventura Village,Phillips,2,3,-10381087.202698,5615398.92555651
759,Northrop,2022-2023,4,271123314624,1/5/23 12:00 AM,12:37 PM,1/5/23 12:37 PM,2516 14TH AVE S,44.956643,-93.254979,478.1000(b),Snow emergency parking restrictions - even number address,9,Midtown Phillips,Phillips,2,3,-10381096.7762153,5614698.39449911
760,Northrop,2022-2023,4,271123314623,1/5/23 12:00 AM,12:35 PM,1/5/23 12:35 PM,2518 14TH AVE S,44.95648,-93.255011,478.1000(b),Snow emergency parking restrictions - even number address,9,Midtown Phillips,Phillips,2,3,-10381100.338403,5614672.75286711
761,Northrop,2022-2023,4,271123314622,1/5/23 12:00 AM,12:34 PM,1/5/23 12:34 PM,2520 14TH AVE S,44.956425,-93.254988,478.1000(b),Snow emergency parking restrictions - even number address,9,Midtown Phillips,Phillips,2,3,-10381097.7781369,5614664.10084165
762,Northrop,2022-2023,4,271123314621,1/5/23 12:00 AM,12:29 PM,1/5/23 12:29 PM,2636 14TH AVE S,44.954272,-93.25505,478.1000(b),Snow emergency parking restrictions - even number address,9,Midtown Phillips,Phillips,2,3,-10381104.6798632,5614325.41897768
763,Northrop,2022-2023,4,271123314620,1/5/23 12:00 AM,12:26 PM,1/5/23 12:26 PM,2712 14TH AVE S,44.953328,-93.255074,478.1000(b),Snow emergency parking restrictions - even number address,9,Midtown Phillips,Phillips,2,3,-10381107.351554,5614176.92512897
