OBJECTID,Citation_N,Date,Address,X_Coordina,Y_Coordina,Ordinance,Ordinanc_1,Ward,Neighborho,Community,Day_ID,TowDist,x,y
1567,271116549000,1/12/2017 12:00:00 AM,418 7TH AVE SE,-10380019,5619088,478.1000(B),SNOW EMERGENCY EVEN,3,Marcy-Holmes,University,2,4,-10380019,5619088
1568,271116557000,1/12/2017 12:00:00 AM,126 5TH ST NE,-10381041,5619992,478.1000(B),SNOW EMERGENCY EVEN,3,Nicollet Island,University,2,2,-10381041,5619992
1569,271116557000,1/12/2017 12:00:00 AM,124 5TH ST NE,-10381040,5619989,478.1000(B),SNOW EMERGENCY EVEN,3,Nicollet Island,University,2,2,-10381040,5619989
1570,271116564000,1/12/2017 12:00:00 AM,312 18TH ST E,-10382983,5616054,478.1000(B),SNOW EMERGENCY EVEN,6,Stevens Square,Central,2,3,-10382983,5616054
1571,271116567000,1/12/2017 12:00:00 AM,2832 HUMBOLDT AVE S,-10386192,5613798,478.1000(B),SNOW EMERGENCY EVEN,7,East Isles,Calhoun-Isles,2,3,-10386192,5613798
1572,271116570000,1/12/2017 12:00:00 AM,1344 LOGAN AVE N,-10386459,5620295,478.1000(B),SNOW EMERGENCY EVEN,5,Willard-Hay,Near North,2,1,-10386459,5620295
1573,271116571000,1/12/2017 12:00:00 AM,4228 COLFAX AVE S,-10385236,5609923,478.1000(B),SNOW EMERGENCY EVEN,13,East Harriet,Southwest,2,5,-10385236,5609923
1574,271116571000,1/12/2017 12:00:00 AM,2108 OAKLAND AVE S,-10382375,5615497,478.1000(B),SNOW EMERGENCY EVEN,6,Ventura Village,Phillips,2,3,-10382375,5615497
1575,271116573000,1/12/2017 12:00:00 AM,4604 EMERSON AVE N,-10385573,5627595,478.1000(B),SNOW EMERGENCY EVEN,4,Lind-Bohanon,Camden,2,1,-10385573,5627595
1576,271116577000,1/12/2017 12:00:00 AM,2624 PLEASANT AVE,-10384218,5614451,478.1000(B),SNOW EMERGENCY EVEN,10,Whittier,Powderhorn,2,3,-10384218,5614451
1577,271116523000,1/12/2017 12:00:00 AM,3942 SHERIDAN AVE N,-10387463,5625724,478.1000(B),SNOW EMERGENCY EVEN,4,Victory,Camden,2,1,-10387463,5625724
1578,271116560000,1/12/2017 12:00:00 AM,3242 6TH ST N,-10384597,5623706,478.1000(B),SNOW EMERGENCY EVEN,4,McKinley,Camden,2,1,-10384597,5623706
1579,271116561000,1/12/2017 12:00:00 AM,2938 EWING AVE S,-10389121,5613580,478.1000(B),SNOW EMERGENCY EVEN,7,Cedar-Isles-Dean,Calhoun-Isles,2,3,-10389121,5613580
1580,271116562000,1/12/2017 12:00:00 AM,3712 OAKLAND AVE S,-10382363,5611405,478.1000(B),SNOW EMERGENCY EVEN,8,Central,Powderhorn,2,5,-10382363,5611405
1581,271116564000,1/12/2017 12:00:00 AM,304 18TH ST E,-10383042,5616054,478.1000(B),SNOW EMERGENCY EVEN,6,Stevens Square,Central,2,3,-10383042,5616054
1582,271116569000,1/12/2017 12:00:00 AM,3336 COLFAX AVE S,-10385223,5612444,478.1000(B),SNOW EMERGENCY EVEN,10,CARAG,Calhoun-Isles,2,5,-10385223,5612444
1583,271116570000,1/12/2017 12:00:00 AM,1702 ROLLINS AVE SE,-10378149,5619213,478.1000(B),SNOW EMERGENCY EVEN,2,Como,University,2,4,-10378149,5619213
1584,271116571000,1/12/2017 12:00:00 AM,4230 COLFAX AVE S,-10385236,5609917,478.1000(B),SNOW EMERGENCY EVEN,13,East Harriet,Southwest,2,5,-10385236,5609917
1585,271116577000,1/12/2017 12:00:00 AM,1084 17TH AVE SE,-10378111,5620003,478.1000(B),SNOW EMERGENCY EVEN,1,Como,University,2,4,-10378111,5620003
1586,271116492000,1/12/2017 12:00:00 AM,2320 ELLIOT AVE,-10381784,5615201,478.1000(B),SNOW EMERGENCY EVEN,6,Ventura Village,Phillips,2,3,-10381784,5615201
1587,271116534000,1/12/2017 12:00:00 AM,3732 10TH AVE S,-10381660,5611348,478.1000(A),SNOW EMERGENCY PARK,9,Powderhorn Park,Powderhorn,2,6,-10381660,5611348
1588,271116535000,1/12/2017 12:00:00 AM,1512 36TH ST E,-10380876,5611731,478.1000(B),SNOW EMERGENCY EVEN,9,Powderhorn Park,Powderhorn,2,6,-10380876,5611731
1589,271116545000,1/12/2017 12:00:00 AM,516 34TH ST E,-10382624,5612304,478.1000(B),SNOW EMERGENCY EVEN,9,Central,Powderhorn,2,5,-10382624,5612304
1590,271116554000,1/12/2017 12:00:00 AM,422 7TH AVE SE,-10380015,5619094,478.1000(B),SNOW EMERGENCY EVEN,3,Marcy-Holmes,University,2,4,-10380015,5619094
1591,271116557000,1/12/2017 12:00:00 AM,116 5TH ST NE,-10381034,5619977,478.1000(B),SNOW EMERGENCY EVEN,3,Nicollet Island,University,2,2,-10381034,5619977
1592,271116557000,1/12/2017 12:00:00 AM,120 5TH ST NE,-10381037,5619983,478.1000(B),SNOW EMERGENCY EVEN,3,Nicollet Island,University,2,2,-10381037,5619983
1593,271116569000,1/12/2017 12:00:00 AM,3330 COLFAX AVE S,-10385223,5612458,478.1000(B),SNOW EMERGENCY EVEN,10,CARAG,Calhoun-Isles,2,5,-10385223,5612458
1594,271116577000,1/12/2017 12:00:00 AM,1094 17TH AVE SE,-10378111,5620044,478.1000(B),SNOW EMERGENCY EVEN,1,Como,University,2,4,-10378111,5620044
1595,271116577000,1/12/2017 12:00:00 AM,806 15TH ST E,-10381924,5616491,478.1000(B),SNOW EMERGENCY EVEN,6,Elliot Park,Central,2,3,-10381924,5616491
1596,271116538000,1/12/2017 12:00:00 AM,2212 STEVENS AVE S,-10383364,5615345,478.1000(B),SNOW EMERGENCY EVEN,10,Whittier,Powderhorn,2,3,-10383364,5615345
1597,271116545000,1/12/2017 12:00:00 AM,518 34TH ST E,-10382622,5612304,478.1000(B),SNOW EMERGENCY EVEN,9,Central,Powderhorn,2,5,-10382622,5612304
1598,271116561000,1/12/2017 12:00:00 AM,2940 EWING AVE S,-10389124,5613575,478.1000(B),SNOW EMERGENCY EVEN,7,Cedar-Isles-Dean,Calhoun-Isles,2,3,-10389124,5613575
1599,271116562000,1/12/2017 12:00:00 AM,3852 OAKLAND AVE S,-10382360,5611012,478.1000(B),SNOW EMERGENCY EVEN,8,Bryant,Powderhorn,2,5,-10382360,5611012
1600,271116567000,1/12/2017 12:00:00 AM,2848 HUMBOLDT AVE S,-10386192,5613876,478.1000(B),SNOW EMERGENCY EVEN,7,East Isles,Calhoun-Isles,2,3,-10386192,5613876
1601,271116571000,1/12/2017 12:00:00 AM,2014 OAKLAND AVE S,-10382374,5615623,478.1000(B),SNOW EMERGENCY EVEN,6,Ventura Village,Phillips,2,3,-10382374,5615623
1602,271116573000,1/12/2017 12:00:00 AM,4832 EMERSON AVE N,-10385581,5628248,478.1000(B),SNOW EMERGENCY EVEN,4,Lind-Bohanon,Camden,2,1,-10385581,5628248
1603,271116577000,1/12/2017 12:00:00 AM,808 15TH ST E,-10381923,5616490,478.1000(B),SNOW EMERGENCY EVEN,6,Elliot Park,Central,2,3,-10381923,5616490
1604,271116577000,1/12/2017 12:00:00 AM,2544 PLEASANT AVE,-10384217,5614678,478.1000(B),SNOW EMERGENCY EVEN,10,Whittier,Powderhorn,2,3,-10384217,5614678
1605,271116492000,1/12/2017 12:00:00 AM,2314 ELLIOT AVE,-10381784,5615209,478.1000(B),SNOW EMERGENCY EVEN,6,Ventura Village,Phillips,2,3,-10381784,5615209
1606,271116523000,1/12/2017 12:00:00 AM,4016 SHERIDAN AVE N,-10387466,5625937,478.1000(B),SNOW EMERGENCY EVEN,4,Victory,Camden,2,1,-10387466,5625937
1607,271116531000,1/12/2017 12:00:00 AM,3116 19TH AVE S,-10379977,5613059,478.1000(B),SNOW EMERGENCY EVEN,9,Corcoran,Powderhorn,2,6,-10379977,5613059
1608,271116542000,1/12/2017 12:00:00 AM,3434 6TH ST N,-10384600,5624251,478.1000(B),SNOW EMERGENCY EVEN,4,McKinley,Camden,2,1,-10384600,5624251
1609,271116557000,1/12/2017 12:00:00 AM,122 5TH ST NE,-10381038,5619986,478.1000(B),SNOW EMERGENCY EVEN,3,Nicollet Island,University,2,2,-10381038,5619986
1610,271116560000,1/12/2017 12:00:00 AM,3436 6TH ST N,-10384600,5624256,478.1000(B),SNOW EMERGENCY EVEN,4,McKinley,Camden,2,1,-10384600,5624256
1611,271116567000,1/12/2017 12:00:00 AM,2846 HUMBOLDT AVE S,-10386192,5613867,478.1000(B),SNOW EMERGENCY EVEN,7,East Isles,Calhoun-Isles,2,3,-10386192,5613867
1612,271116570000,1/12/2017 12:00:00 AM,1234 KNOX AVE N,-10386321,5620000,478.1000(B),SNOW EMERGENCY EVEN,5,Near-North,Near North,2,1,-10386321,5620000
1613,271116571000,1/12/2017 12:00:00 AM,2012 OAKLAND AVE S,-10382374,5615625,478.1000(B),SNOW EMERGENCY EVEN,6,Ventura Village,Phillips,2,3,-10382374,5615625
1614,271116573000,1/12/2017 12:00:00 AM,3806 COLUMBUS AVE S,-10382080,5611136,478.1000(B),SNOW EMERGENCY EVEN,8,Bryant,Powderhorn,2,5,-10382080,5611136
1615,271116577000,1/12/2017 12:00:00 AM,1100 17TH AVE SE,-10378111,5620069,478.1000(B),SNOW EMERGENCY EVEN,1,Como,University,2,4,-10378111,5620069
1616,271116577000,1/12/2017 12:00:00 AM,814 15TH ST E,-10381913,5616490,478.1000(B),SNOW EMERGENCY EVEN,6,Elliot Park,Central,2,3,-10381913,5616490
1617,271116577000,1/12/2017 12:00:00 AM,2540 PLEASANT AVE,-10384217,5614689,478.1000(B),SNOW EMERGENCY EVEN,10,Whittier,Powderhorn,2,3,-10384217,5614689
1618,271116534000,1/12/2017 12:00:00 AM,3730 10TH AVE S,-10381660,5611353,478.1000(A),SNOW EMERGENCY PARK,9,Powderhorn Park,Powderhorn,2,6,-10381660,5611353
1619,271116568000,1/12/2017 12:00:00 AM,4208 16TH AVE S,-10380674,5609996,478.1000(B),SNOW EMERGENCY EVEN,8,Northrop,Nokomis,2,6,-10380674,5609996
1620,271116569000,1/12/2017 12:00:00 AM,3324 COLFAX AVE S,-10385223,5612473,478.1000(B),SNOW EMERGENCY EVEN,10,CARAG,Calhoun-Isles,2,5,-10385223,5612473
1621,271116571000,1/12/2017 12:00:00 AM,2010 OAKLAND AVE S,-10382374,5615628,478.1000(B),SNOW EMERGENCY EVEN,6,Ventura Village,Phillips,2,3,-10382374,5615628
1622,271116573000,1/12/2017 12:00:00 AM,4834 EMERSON AVE N,-10385581,5628253,478.1000(B),SNOW EMERGENCY EVEN,4,Lind-Bohanon,Camden,2,1,-10385581,5628253
1623,271116577000,1/12/2017 12:00:00 AM,816 15TH ST E,-10381910,5616490,478.1000(B),SNOW EMERGENCY EVEN,6,Elliot Park,Central,2,3,-10381910,5616490
1624,271116577000,1/12/2017 12:00:00 AM,2538 PLEASANT AVE,-10384217,5614695,478.1000(B),SNOW EMERGENCY EVEN,10,Whittier,Powderhorn,2,3,-10384217,5614695
1625,271116523000,1/12/2017 12:00:00 AM,4026 SHERIDAN AVE N,-10387466,5625965,478.1000(B),SNOW EMERGENCY EVEN,4,Victory,Camden,2,1,-10387466,5625965
1626,271116531000,1/12/2017 12:00:00 AM,3100 19TH AVE S,-10379977,5613103,478.1000(B),SNOW EMERGENCY EVEN,9,Corcoran,Powderhorn,2,6,-10379977,5613103
1627,271116545000,1/12/2017 12:00:00 AM,604 34TH ST E,-10382474,5612304,478.1000(B),SNOW EMERGENCY EVEN,9,Central,Powderhorn,2,5,-10382474,5612304
1628,271116564000,1/12/2017 12:00:00 AM,134 18TH ST E,-10383336,5616053,478.1000(B),SNOW EMERGENCY EVEN,6,Stevens Square,Central,2,3,-10383336,5616053
1629,271116568000,1/12/2017 12:00:00 AM,4212 16TH AVE S,-10380674,5609985,478.1000(B),SNOW EMERGENCY EVEN,8,Northrop,Nokomis,2,6,-10380674,5609985
1630,271116569000,1/12/2017 12:00:00 AM,3304 COLFAX AVE S,-10385223,5612521,478.1000(B),SNOW EMERGENCY EVEN,10,CARAG,Calhoun-Isles,2,5,-10385223,5612521
1631,271116570000,1/12/2017 12:00:00 AM,1024 KNOX AVE N,-10386322,5619629,478.1000(B),SNOW EMERGENCY EVEN,5,Near-North,Near North,2,1,-10386322,5619629
1632,271116573000,1/12/2017 12:00:00 AM,3716 COLUMBUS AVE S,-10382081,5611346,478.1000(B),SNOW EMERGENCY EVEN,8,Central,Powderhorn,2,5,-10382081,5611346
1633,271116577000,1/12/2017 12:00:00 AM,2534 PLEASANT AVE,-10384217,5614705,478.1000(B),SNOW EMERGENCY EVEN,10,Whittier,Powderhorn,2,3,-10384217,5614705
1634,271116549000,1/12/2017 12:00:00 AM,520 7TH AVE SE,-10379930,5619245,478.1000(B),SNOW EMERGENCY EVEN,3,Marcy-Holmes,University,2,4,-10379930,5619245
1635,271116562000,1/12/2017 12:00:00 AM,4244 OAKLAND AVE S,-10382363,5609899,478.1000(B),SNOW EMERGENCY EVEN,8,Regina,Nokomis,2,5,-10382363,5609899
1636,271116567000,1/12/2017 12:00:00 AM,2870 HUMBOLDT AVE S,-10386204,5613633,478.1000(B),SNOW EMERGENCY EVEN,7,East Isles,Calhoun-Isles,2,3,-10386204,5613633
1637,271116573000,1/12/2017 12:00:00 AM,3714 COLUMBUS AVE S,-10382081,5611350,478.1000(B),SNOW EMERGENCY EVEN,8,Central,Powderhorn,2,5,-10382081,5611350
1638,271116538000,1/12/2017 12:00:00 AM,2314 STEVENS AVE S,-10383364,5615216,478.1000(B),SNOW EMERGENCY EVEN,10,Whittier,Powderhorn,2,3,-10383364,5615216
1639,271116557000,1/12/2017 12:00:00 AM,18 33RD ST W,-10383688,5612547,478.1000(B),SNOW EMERGENCY EVEN,8,Lyndale,Powderhorn,2,5,-10383688,5612547
1640,271116565000,1/12/2017 12:00:00 AM,1230 THOMAS AVE N,-10387601,5620067,478.1000(B),SNOW EMERGENCY EVEN,5,Willard-Hay,Near North,2,1,-10387601,5620067
1641,271116566000,1/12/2017 12:00:00 AM,2416 LAKE PL,-10386194,5615045,478.1000(B),SNOW EMERGENCY EVEN,7,East Isles,Calhoun-Isles,2,3,-10386194,5615045
1642,271116570000,1/12/2017 12:00:00 AM,926 17TH AVE SE,-10378151,5619231,478.1000(B),SNOW EMERGENCY EVEN,2,Como,University,2,4,-10378151,5619231
1643,271116571000,1/12/2017 12:00:00 AM,2000 OAKLAND AVE S,-10382374,5615641,478.1000(B),SNOW EMERGENCY EVEN,6,Ventura Village,Phillips,2,3,-10382374,5615641
1644,271116577000,1/12/2017 12:00:00 AM,818 15TH ST E,-10381907,5616490,478.1000(B),SNOW EMERGENCY EVEN,6,Elliot Park,Central,2,3,-10381907,5616490
1645,271116577000,1/12/2017 12:00:00 AM,2528 PLEASANT AVE,-10384216,5614722,478.1000(B),SNOW EMERGENCY EVEN,10,Whittier,Powderhorn,2,3,-10384216,5614722
1646,271116542000,1/12/2017 12:00:00 AM,3510 6TH ST N,-10384600,5624470,478.1000(B),SNOW EMERGENCY EVEN,4,McKinley,Camden,2,1,-10384600,5624470
1647,271116542000,1/12/2017 12:00:00 AM,2208 ELLIOT AVE,-10381784,5615351,478.1000(B),SNOW EMERGENCY EVEN,6,Ventura Village,Phillips,2,3,-10381784,5615351
1648,271116557000,1/12/2017 12:00:00 AM,20 33RD ST W,-10383692,5612547,478.1000(B),SNOW EMERGENCY EVEN,8,Lyndale,Powderhorn,2,5,-10383692,5612547
1649,271116562000,1/12/2017 12:00:00 AM,4332 OAKLAND AVE S,-10382366,5609648,478.1000(B),SNOW EMERGENCY EVEN,8,Regina,Nokomis,2,5,-10382366,5609648
1650,271116567000,1/12/2017 12:00:00 AM,2872 HUMBOLDT AVE S,-10386204,5613626,478.1000(B),SNOW EMERGENCY EVEN,7,East Isles,Calhoun-Isles,2,3,-10386204,5613626
1651,271116569000,1/12/2017 12:00:00 AM,3208 COLFAX AVE S,-10385219,5612794,478.1000(B),SNOW EMERGENCY EVEN,10,CARAG,Calhoun-Isles,2,5,-10385219,5612794
1652,271116573000,1/12/2017 12:00:00 AM,4838 EMERSON AVE N,-10385581,5628264,478.1000(B),SNOW EMERGENCY EVEN,4,Lind-Bohanon,Camden,2,1,-10385581,5628264
1653,271116573000,1/12/2017 12:00:00 AM,4840 EMERSON AVE N,-10385581,5628270,478.1000(B),SNOW EMERGENCY EVEN,4,Lind-Bohanon,Camden,2,1,-10385581,5628270
1654,271116577000,1/12/2017 12:00:00 AM,820 15TH ST E,-10381903,5616490,478.1000(B),SNOW EMERGENCY EVEN,6,Elliot Park,Central,2,3,-10381903,5616490
1655,271116523000,1/12/2017 12:00:00 AM,4330 SHERIDAN AVE N,-10387480,5626883,478.1000(B),SNOW EMERGENCY EVEN,4,Victory,Camden,2,1,-10387480,5626883
1656,271116538000,1/12/2017 12:00:00 AM,2316 STEVENS AVE S,-10383364,5615213,478.1000(B),SNOW EMERGENCY EVEN,10,Whittier,Powderhorn,2,3,-10383364,5615213
1657,271116549000,1/12/2017 12:00:00 AM,708 7TH AVE SE,-10379766,5619537,478.1000(B),SNOW EMERGENCY EVEN,3,Marcy-Holmes,University,2,4,-10379766,5619537
1658,271116564000,1/12/2017 12:00:00 AM,132 18TH ST E,-10383339,5616053,478.1000(B),SNOW EMERGENCY EVEN,6,Stevens Square,Central,2,3,-10383339,5616053
1659,271116567000,1/12/2017 12:00:00 AM,2874 HUMBOLDT AVE S,-10386204,5613619,478.1000(B),SNOW EMERGENCY EVEN,7,East Isles,Calhoun-Isles,2,3,-10386204,5613619
1660,271116577000,1/12/2017 12:00:00 AM,2508 PLEASANT AVE,-10384216,5614776,478.1000(B),SNOW EMERGENCY EVEN,10,Whittier,Powderhorn,2,3,-10384216,5614776
1661,271116531000,1/12/2017 12:00:00 AM,3512 20TH AVE S,-10379833,5611966,478.1000(B),SNOW EMERGENCY EVEN,9,Corcoran,Powderhorn,2,6,-10379833,5611966
1662,271116552000,1/12/2017 12:00:00 AM,1726 ADAMS ST NE,-10381248,5622408,478.1000(B),SNOW EMERGENCY EVEN,1,Logan Park,Northeast,2,2,-10381248,5622408
1663,271116562000,1/12/2017 12:00:00 AM,4400 OAKLAND AVE S,-10382369,5609451,478.1000(B),SNOW EMERGENCY EVEN,8,Regina,Nokomis,2,5,-10382369,5609451
1664,271116567000,1/12/2017 12:00:00 AM,2876 HUMBOLDT AVE S,-10386204,5613613,478.1000(B),SNOW EMERGENCY EVEN,7,East Isles,Calhoun-Isles,2,3,-10386204,5613613
1665,271116569000,1/12/2017 12:00:00 AM,3108 COLFAX AVE S,-10385218,5613087,478.1000(B),SNOW EMERGENCY EVEN,10,CARAG,Calhoun-Isles,2,5,-10385218,5613087
1666,271116569000,1/12/2017 12:00:00 AM,2118 IRVING AVE N,-10385966,5621603,478.1000(B),SNOW EMERGENCY EVEN,5,Jordan,Near North,2,1,-10385966,5621603
1667,271116570000,1/12/2017 12:00:00 AM,940 17TH AVE SE,-10378154,5619303,478.1000(B),SNOW EMERGENCY EVEN,2,Como,University,2,4,-10378154,5619303
1668,271116570000,1/12/2017 12:00:00 AM,714 NEWTON AVE N,-10386743,5619232,478.1000(B),SNOW EMERGENCY EVEN,5,Near-North,Near North,2,1,-10386743,5619232
1669,271116573000,1/12/2017 12:00:00 AM,3644 COLUMBUS AVE S,-10382084,5611611,478.1000(B),SNOW EMERGENCY EVEN,8,Central,Powderhorn,2,5,-10382084,5611611
1670,271116577000,1/12/2017 12:00:00 AM,902 15TH ST E,-10381766,5616490,478.1000(B),SNOW EMERGENCY EVEN,6,Elliot Park,Central,2,3,-10381766,5616490
1671,271116492000,1/12/2017 12:00:00 AM,2312 ELLIOT AVE,-10381784,5615212,478.1000(B),SNOW EMERGENCY EVEN,6,Ventura Village,Phillips,2,3,-10381784,5615212
1672,271116538000,1/12/2017 12:00:00 AM,2318 STEVENS AVE S,-10383364,5615210,478.1000(B),SNOW EMERGENCY EVEN,10,Whittier,Powderhorn,2,3,-10383364,5615210
1673,271116542000,1/12/2017 12:00:00 AM,2220 ELLIOT AVE,-10381784,5615335,478.1000(B),SNOW EMERGENCY EVEN,6,Ventura Village,Phillips,2,3,-10381784,5615335
1674,271116545000,1/12/2017 12:00:00 AM,616 34TH ST E,-10382386,5612304,478.1000(B),SNOW EMERGENCY EVEN,9,Central,Powderhorn,2,5,-10382386,5612304
1675,271116549000,1/12/2017 12:00:00 AM,718 7TH AVE SE,-10379758,5619552,478.1000(B),SNOW EMERGENCY EVEN,3,Marcy-Holmes,University,2,4,-10379758,5619552
1676,271116554000,1/12/2017 12:00:00 AM,720 7TH AVE SE,-10379756,5619555,478.1000(B),SNOW EMERGENCY EVEN,3,Marcy-Holmes,University,2,4,-10379756,5619555
1677,271116557000,1/12/2017 12:00:00 AM,806 5TH ST NE,-10381609,5621165,478.1000(B),SNOW EMERGENCY EVEN,3,St. Anthony West,Northeast,2,2,-10381609,5621165
1678,271116560000,1/12/2017 12:00:00 AM,3546 6TH ST N,-10384601,5624568,478.1000(B),SNOW EMERGENCY EVEN,4,McKinley,Camden,2,1,-10384601,5624568
1679,271116561000,1/12/2017 12:00:00 AM,2710 DREW AVE S,-10389032,5614172,478.1000(B),SNOW EMERGENCY EVEN,7,Cedar-Isles-Dean,Calhoun-Isles,2,3,-10389032,5614172
1680,271116565000,1/12/2017 12:00:00 AM,822 SHERIDAN AVE N,-10387452,5619374,478.1000(B),SNOW EMERGENCY EVEN,5,Willard-Hay,Near North,2,1,-10387452,5619374
1681,271116567000,1/12/2017 12:00:00 AM,2880 HUMBOLDT AVE S,-10386205,5613600,478.1000(B),SNOW EMERGENCY EVEN,7,East Isles,Calhoun-Isles,2,3,-10386205,5613600
1682,271116569000,1/12/2017 12:00:00 AM,3104 COLFAX AVE S,-10385218,5613098,478.1000(B),SNOW EMERGENCY EVEN,10,CARAG,Calhoun-Isles,2,5,-10385218,5613098
1683,271116573000,1/12/2017 12:00:00 AM,3640 COLUMBUS AVE S,-10382084,5611621,478.1000(B),SNOW EMERGENCY EVEN,8,Central,Powderhorn,2,5,-10382084,5611621
1684,271116531000,1/12/2017 12:00:00 AM,3524 20TH AVE S,-10379833,5611934,478.1000(B),SNOW EMERGENCY EVEN,9,Corcoran,Powderhorn,2,6,-10379833,5611934
1685,271116534000,1/12/2017 12:00:00 AM,3632 10TH AVE S,-10381662,5611632,478.1000(A),SNOW EMERGENCY PARK,9,Powderhorn Park,Powderhorn,2,6,-10381662,5611632
1686,271116538000,1/12/2017 12:00:00 AM,2320 STEVENS AVE S,-10383364,5615208,478.1000(B),SNOW EMERGENCY EVEN,10,Whittier,Powderhorn,2,3,-10383364,5615208
1687,271116542000,1/12/2017 12:00:00 AM,3544 6TH ST N,-10384601,5624563,478.1000(B),SNOW EMERGENCY EVEN,4,McKinley,Camden,2,1,-10384601,5624563
1688,271116552000,1/12/2017 12:00:00 AM,1720 ADAMS ST NE,-10381248,5622395,478.1000(B),SNOW EMERGENCY EVEN,1,Logan Park,Northeast,2,2,-10381248,5622395
1689,271116554000,1/12/2017 12:00:00 AM,722 7TH AVE SE,-10379754,5619558,478.1000(B),SNOW EMERGENCY EVEN,3,Marcy-Holmes,University,2,4,-10379754,5619558
1690,271116562000,1/12/2017 12:00:00 AM,4532 OAKLAND AVE S,-10382374,5609080,478.1000(B),SNOW EMERGENCY EVEN,8,Regina,Nokomis,2,5,-10382374,5609080
1691,271116564000,1/12/2017 12:00:00 AM,130 18TH ST E,-10383343,5616053,478.1000(B),SNOW EMERGENCY EVEN,6,Stevens Square,Central,2,3,-10383343,5616053
1692,271116573000,1/12/2017 12:00:00 AM,4856 EMERSON AVE N,-10385582,5628314,478.1000(B),SNOW EMERGENCY EVEN,4,Lind-Bohanon,Camden,2,1,-10385582,5628314
1693,271116577000,1/12/2017 12:00:00 AM,2448 PLEASANT AVE,-10384215,5614949,478.1000(B),SNOW EMERGENCY EVEN,10,Whittier,Powderhorn,2,3,-10384215,5614949
1694,271116492000,1/12/2017 12:00:00 AM,2310 ELLIOT AVE,-10381784,5615215,478.1000(B),SNOW EMERGENCY EVEN,6,Ventura Village,Phillips,2,3,-10381784,5615215
1695,271116531000,1/12/2017 12:00:00 AM,3526 20TH AVE S,-10379833,5611928,478.1000(B),SNOW EMERGENCY EVEN,9,Corcoran,Powderhorn,2,6,-10379833,5611928
1696,271116545000,1/12/2017 12:00:00 AM,628 34TH ST E,-10382349,5612304,478.1000(B),SNOW EMERGENCY EVEN,9,Central,Powderhorn,2,5,-10382349,5612304
1697,271116549000,1/12/2017 12:00:00 AM,724 7TH AVE SE,-10379753,5619561,478.1000(B),SNOW EMERGENCY EVEN,3,Marcy-Holmes,University,2,4,-10379753,5619561
1698,271116552000,1/12/2017 12:00:00 AM,1718 ADAMS ST NE,-10381248,5622391,478.1000(B),SNOW EMERGENCY EVEN,1,Logan Park,Northeast,2,2,-10381248,5622391
1699,271116561000,1/12/2017 12:00:00 AM,2708 DREW AVE S,-10389032,5614180,478.1000(B),SNOW EMERGENCY EVEN,7,Cedar-Isles-Dean,Calhoun-Isles,2,3,-10389032,5614180
1700,271116561000,1/12/2017 12:00:00 AM,2706 DREW AVE S,-10389032,5614187,478.1000(B),SNOW EMERGENCY EVEN,7,Cedar-Isles-Dean,Calhoun-Isles,2,3,-10389032,5614187
1701,271116565000,1/12/2017 12:00:00 AM,926 SHERIDAN AVE N,-10387450,5619514,478.1000(B),SNOW EMERGENCY EVEN,5,Willard-Hay,Near North,2,1,-10387450,5619514
1702,271116569000,1/12/2017 12:00:00 AM,3040 COLFAX AVE S,-10385216,5613281,478.1000(B),SNOW EMERGENCY EVEN,10,CARAG,Calhoun-Isles,2,5,-10385216,5613281
1703,271116569000,1/12/2017 12:00:00 AM,2328 IRVING AVE N,-10386005,5622037,478.1000(B),SNOW EMERGENCY EVEN,5,Jordan,Near North,2,1,-10386005,5622037
1704,271116570000,1/12/2017 12:00:00 AM,1118 NEWTON AVE N,-10386741,5619784,478.1000(B),SNOW EMERGENCY EVEN,5,Near-North,Near North,2,1,-10386741,5619784
1705,271116573000,1/12/2017 12:00:00 AM,3632 COLUMBUS AVE S,-10382084,5611641,478.1000(B),SNOW EMERGENCY EVEN,8,Central,Powderhorn,2,5,-10382084,5611641
1706,271116577000,1/12/2017 12:00:00 AM,904 15TH ST E,-10381763,5616490,478.1000(B),SNOW EMERGENCY EVEN,6,Elliot Park,Central,2,3,-10381763,5616490
1707,271116417000,1/12/2017 12:00:00 AM,5644 LONGFELLOW AVE S,-10380133,5605829,478.1000(B),SNOW EMERGENCY EVEN,11,Wenonah,Nokomis,2,6,-10380133,5605829
1708,271116542000,1/12/2017 12:00:00 AM,2302 ELLIOT AVE,-10381784,5615225,478.1000(B),SNOW EMERGENCY EVEN,6,Ventura Village,Phillips,2,3,-10381784,5615225
1709,271116561000,1/12/2017 12:00:00 AM,2704 DREW AVE S,-10389032,5614194,478.1000(B),SNOW EMERGENCY EVEN,7,Cedar-Isles-Dean,Calhoun-Isles,2,3,-10389032,5614194
1710,271116569000,1/12/2017 12:00:00 AM,3038 COLFAX AVE S,-10385216,5613286,478.1000(B),SNOW EMERGENCY EVEN,10,CARAG,Calhoun-Isles,2,5,-10385216,5613286
1711,271116570000,1/12/2017 12:00:00 AM,1522 BROOK AVE SE,-10378312,5619403,478.1000(B),SNOW EMERGENCY EVEN,2,Como,University,2,4,-10378312,5619403
1712,271116573000,1/12/2017 12:00:00 AM,3604 COLUMBUS AVE S,-10382085,5611711,478.1000(B),SNOW EMERGENCY EVEN,8,Central,Powderhorn,2,5,-10382085,5611711
